,Unnamed: 0,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
8802,8802.0,ApeGang #1206,Devil Wings,Gold Hoop,Green Beanie,Robot,Grin Gold,Diving Mask
8814,8814.0,ApeGang #1194,Hotel Porter,Diamond Stud,Party,Brown,Grillz,Closed
8821,8821.0,ApeGang #1187,Grey Striped T-Shirt,Diamond Stud,Brown Beanie,Brown,Corn,Devil
8829,8829.0,ApeGang #1179,Hippie,Diamond Stud,Hotel Porter,Strong Dark Brown,Snake,Scar
8855,8855.0,ApeGang #1153,Military,Bluetooth Earpiece,Party,Brown,Snake,Cyclops
8859,8859.0,ApeGang #1149,Mexican,Silver Hoop,Brain,Black,Grillz,Robot
8919,8919.0,ApeGang #1089,Purple Hoodie,Bluetooth Earpiece,Pirate,Brown,Tongue Out,3D Glasses
8923,8923.0,ApeGang #1085,Black Tank Top,Silver Hoop,Sombrero,Strong Dark Brown,Tongue Out,Round Glasses
8985,8985.0,ApeGang #1023,Batman,Bluetooth Earpiece,Hotel Porter,Brown,Oh,Hippie Glasses
9018,9018.0,ApeGang #990,Sheriff,Diamond Stud,Top Hat,Brown,Joint,3D Glasses
9034,9034.0,ApeGang #974,Purple Hoodie,Silver Hoop,Halo,Strong Dark Brown,Bubble Gum,3D Glasses
9073,9073.0,ApeGang #935,Cop,Silver Hoop,Cowboy,Zebra,Flames,Gold Sunglasses
9075,9075.0,ApeGang #933,Sheriff,Diamond Stud,Horn,Brown,Snake,Heart
9107,9107.0,ApeGang #901,Pimp Coat,Bluetooth Earpiece,Military Helmet,Brown,Bubble Gum,Heart
9114,9114.0,ApeGang #894,Banana Shirt,Gold Hoop,Hippie Bandana,Brown,Bubble Gum,Gold Sunglasses
9138,9138.0,ApeGang #870,Hotel Porter,Diamond Stud,Cop,Brown,Joint,Round Glasses
9151,9151.0,ApeGang #857,Sheriff,Bluetooth Earpiece,Borsalino,Black,Grin Gold,Sad
9184,9184.0,ApeGang #824,Grey Striped T-Shirt,Silver Hoop,Brain,Strong Dark Brown,Grin Rainbow,Hippie Glasses
9245,9245.0,ApeGang #763,Black Suit,Silver Hoop,Banana,Brown,Oh,Alien
9254,9254.0,ApeGang #754,Yellow NBA Jersey,Diamond Stud,Propeller,Grey,Smoke Pipe,Black Sunglasses
9260,9260.0,ApeGang #748,Banana Shirt,Airpods,Viking Helmet,Rainbow,Yawn,Crazy
9311,9311.0,ApeGang #697,Indian,Airpods,War Bonnet,Zebra,Snake,Sad
9324,9324.0,ApeGang #684,Lumberjack,Silver Hoop,Banana,Brown,Tongue Out,Black Sunglasses
9335,9335.0,ApeGang #673,Red Hawaiian Shirt,Bluetooth Earpiece,Laurel,Brown,Grin Gold,High
9395,9395.0,ApeGang #613,Cop,Bluetooth Earpiece,Halo,Brown,Mustache,Eye Patch
9439,9439.0,ApeGang #569,Military,Gold Hoop,Sombrero,Black,Nose Ring,Eye Patch
9453,9453.0,ApeGang #555,Hotel Porter,Gold Hoop,Pirate,Strong Dark Brown,Yawn,Black Sunglasses
9455,9455.0,ApeGang #553,Red Hawaiian Shirt,Diamond Stud,Party,Brown,Covid Mask,Robot Glasses
9482,9482.0,ApeGang #526,Banana Shirt,Bluetooth Earpiece,Hotel Porter,Grey,Nose Ring,Sad
9483,9483.0,ApeGang #525,Joker,Bluetooth Earpiece,Sushi Chef,Brown,Grin Rainbow,Crazy
9486,9486.0,ApeGang #522,Winter Coat,Airpods,Chef's,Brown,Angry,Eye Patch
9500,9500.0,ApeGang #508,Pimp Coat,Silver Hoop,Propeller,White,Shocked,Monocle
9533,9533.0,ApeGang #475,Lumberjack,Gold Hoop,Laurel,Zebra,Joker,3D Glasses
9561,9561.0,ApeGang #447,Pirate,Diamond Stud,Brain,Black,Flames,Robot
9565,9565.0,ApeGang #443,Black Suit,Diamond Stud,Yellow NBA Headband,Cream,Flames,Monocle
9569,9569.0,ApeGang #439,Orange Hawaiian Shirt ,Diamond Stud,Magician,Rainbow,Tongue Out,Closed
9576,9576.0,ApeGang #432,Cop,Gold Hoop,Horn,Brown,Bubble Gum,Sad
9644,9644.0,ApeGang #364,Hotel Porter,Silver Hoop,Top Hat,Cream,Corn,Gold Sunglasses
9661,9661.0,ApeGang #347,Devil Wings,Airpods,Crown,Zebra,Baby Pacifier,Black Sunglasses
9703,9703.0,ApeGang #305,Lab Coat,Airpods,Propeller,Cream,Snake,Strabismus
9711,9711.0,ApeGang #297,Orange Striped T-Shirt,Gold Hoop,Laurel,Zebra,Grin Gold,Hippie Glasses
9719,9719.0,ApeGang #282,Iron Man,Diamond Stud,Sombrero,Brown,Baby Pacifier,3D Glasses
9720,9720.0,ApeGang #281,Fireman,Silver Hoop,Magician,Black,Baby Pacifier,Rainbow Sunglasses
9800,9800.0,ApeGang #199,Red NBA Jersey,Bluetooth Earpiece,Flower Crown,Black,Grin Rainbow,Black Sunglasses
9818,9818.0,ApeGang #181,Lab Coat,Silver Hoop,Horn,Strong Dark Brown,Angry,3D Glasses
9862,9862.0,ApeGang #137,Magician,Gold Hoop,Hippie Bandana,White,Flames,Blind
9865,9865.0,ApeGang #134,Red Hawaiian Shirt,Gold Hoop,Magician,Cream,Shocked,3D Glasses
9890,9890.0,ApeGang #109,Fireman,Airpods,Green Beanie,Strong Dark Brown,Angry,High
9908,9908.0,ApeGang #91,Mexican,Airpods,Purple Beanie,Brown,Yawn,Crazy
9925,9925.0,ApeGang #74,Yellow NBA Jersey,Diamond Stud,Military Helmet,Brown,Drool Rainbow,Devil
9941,9941.0,ApeGang #58,Black Tank Top,Diamond Stud,Cop,Brown,Smoke Pipe,Gold Sunglasses
9948,9948.0,ApeGang #51,Hippie,Diamond Stud,Flower Crown,Black,Grillz,Heart
9951,9951.0,ApeGang #48,Cop,Bluetooth Earpiece,Banana,Black,Beard,Squinting
9960,9960.0,ApeGang #39,Orange Striped T-Shirt,Airpods,Top Hat,Rainbow,Covid Mask,3D Glasses
9982,9982.0,ApeGang #17,Mexican,Diamond Stud,Sombrero,Grey,Corn,Sad
9998,9998.0,ApeGang #1,Red NBA Jersey,Diamond Stud,Party,Zebra,Baby Pacifier,Sad
9999,9999.0,ApeGang #0,Red Hawaiian Shirt,Bluetooth Earpiece,Banana,Brown,Mustache,High
