,Unnamed: 0,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
4857,4857.0,ApeGang #5148,Black Tank Top,Gold Hoop,Stuntman Helmet,Black,Smoke Pipe,Monocle
4862,4862.0,ApeGang #5143,Prison Jumpsuit,Bluetooth Earpiece,Military Helmet,Grey,Yawn,Round Glasses
4876,4876.0,ApeGang #5129,Lumberjack,Bluetooth Earpiece,Brown Beanie,Tiger,Cigarette,Scar
4894,4894.0,ApeGang #5111,Indian,Gold Hoop,Cop,Brown,Snake,Closed
4897,4897.0,ApeGang #5108,Joker,Airpods,Pirate,Zebra,Shocked,Strabismus
4941,4941.0,ApeGang #5064,Toga,Airpods,Propeller,Grey,Nose Ring,Rainbow Sunglasses
4970,4970.0,ApeGang #5035,Angel Wings,Diamond Stud,Stuntman Helmet,Brown,Baby Pacifier,Crazy
5033,5033.0,ApeGang #4972,Angel Wings,Silver Hoop,Groom,Brown,Drool Rainbow,Hippie Glasses
5034,5034.0,ApeGang #4971,Blue Hoodie,Silver Hoop,Halo,Brown,Beard,Robot Glasses
5038,5038.0,ApeGang #4967,Groom,Bluetooth Earpiece,Rabbit Ears,Strong Dark Brown,Grin Rainbow,Blind
5041,5041.0,ApeGang #4964,Black Tank Top,Silver Hoop,Viking Helmet,Cream,Angry,Round Glasses
5056,5056.0,ApeGang #4949,Red NBA Jersey,Bluetooth Earpiece,Borsalino,Grey,Drool Rainbow,Sad
5081,5081.0,ApeGang #4918,Yellow NBA Jersey,Silver Hoop,Green Beanie,Brown,Yawn,Monocle
5101,5101.0,ApeGang #4898,Hippie,Gold Hoop,Halo,Brown,Corn,Black Sunglasses
5102,5102.0,ApeGang #4897,Mexican,Diamond Stud,Party,Cream,Baby Pacifier,Gold Sunglasses
5109,5109.0,ApeGang #4890,Hippie,Diamond Stud,Borsalino,Brown,Nose Ring,Heart
5112,5112.0,ApeGang #4887,Orange Hawaiian Shirt ,Gold Hoop,Borsalino,Brown,Nose Ring,Crazy
5160,5160.0,ApeGang #4839,Black Suit,Diamond Stud,Brown Beanie,Brown,Joint,Monocle
5169,5169.0,ApeGang #4830,Toga,Bluetooth Earpiece,Yellow NBA Headband,Brown,Corn,Gold Sunglasses
5174,5174.0,ApeGang #4825,Magician,Silver Hoop,Halo,Grey,Joker,Heart
5212,5212.0,ApeGang #4787,Prison Jumpsuit,Airpods,Green Beanie,Brown,Covid Mask,Bruised
5287,5287.0,ApeGang #4712,Orange Hawaiian Shirt ,Bluetooth Earpiece,Red NBA Headband,Rainbow,Drool Rainbow,3D Glasses
5290,5290.0,ApeGang #4709,Hotel Porter,Silver Hoop,Magician,Grey,Corn,Gold Sunglasses
5297,5297.0,ApeGang #4702,Cop,Diamond Stud,Viking Helmet,Strong Dark Brown,Joker,Hippie Glasses
5339,5339.0,ApeGang #4660,Orange Hawaiian Shirt ,Airpods,Pirate,Tiger,Oh,Monocle
5386,5386.0,ApeGang #4613,Yellow NBA Jersey,Airpods,Cowboy,Brown,Yawn,Blind
5387,5387.0,ApeGang #4612,Indian,Bluetooth Earpiece,Groom,Brown,Joker,Devil
5418,5418.0,ApeGang #4581,Hotel Porter,Bluetooth Earpiece,Hotel Porter,Brown,Angry,Heart
5426,5426.0,ApeGang #4573,Military,Diamond Stud,Top Hat,Cream,Baby Pacifier,Cyclops
5429,5429.0,ApeGang #4570,Yellow NBA Jersey,Bluetooth Earpiece,Nurse,Cream,Cigarette,Strabismus
5455,5455.0,ApeGang #4544,Pimp Coat,Bluetooth Earpiece,Rabbit Ears,Brown,Baby Pacifier,Monocle
5476,5476.0,ApeGang #4523,Orange Striped T-Shirt,Silver Hoop,Sombrero,Zebra,Drool Rainbow,Alien
5518,5518.0,ApeGang #4481,Black Suit,Gold Hoop,Viking Helmet,Brown,Snake,Cyclops
5519,5519.0,ApeGang #4480,Pimp Coat,Airpods,Horn,White,Flames,Strabismus
5521,5521.0,ApeGang #4478,Space Suit,Diamond Stud,Hotel Porter,Strong Dark Brown,Nose Ring,3D Glasses
5524,5524.0,ApeGang #4475,Red Hawaiian Shirt,Gold Hoop,Laurel,White,Cigarette,Heart
5557,5557.0,ApeGang #4442,Prison Jumpsuit,Diamond Stud,Brain,Cream,Bubble Gum,Sad
5569,5569.0,ApeGang #4430,Mexican,Bluetooth Earpiece,Fisherman,Grey,Bubble Gum,Albino
5586,5586.0,ApeGang #4413,Banana Shirt,Airpods,Fisherman,White,Corn,Black Sunglasses
5589,5589.0,ApeGang #4410,Batman,Airpods,Bandana,Brown,Oh,Robot Glasses
5609,5609.0,ApeGang #4390,Pirate,Airpods,Flower Crown,Brown,Smoke Pipe,Laser
5625,5625.0,ApeGang #4374,Hotel Porter,Gold Hoop,Military Helmet,Strong Dark Brown,Joint,Hippie Glasses
5626,5626.0,ApeGang #4373,Iron Man,Bluetooth Earpiece,Magician,Brown,Tongue Out,Round Glasses
5636,5636.0,ApeGang #4363,Winter Coat,Bluetooth Earpiece,Banana,Zebra,Yawn,High
5650,5650.0,ApeGang #4349,Red Hawaiian Shirt,Silver Hoop,Cop,Zebra,Joker,Gold Sunglasses
5681,5681.0,ApeGang #4318,Orange Striped T-Shirt,Gold Hoop,Cap,Zebra,Smoke Pipe,Albino
5688,5688.0,ApeGang #4311,Yellow NBA Jersey,Bluetooth Earpiece,Borsalino,Grey,Flames,Gold Sunglasses
5692,5692.0,ApeGang #4307,Red NBA Jersey,Airpods,War Bonnet,Brown,Grin Rainbow,Scar
5708,5708.0,ApeGang #4291,Sheriff,Bluetooth Earpiece,Rabbit Ears,Brown,Grillz,Heart
5726,5726.0,ApeGang #4273,Sheriff,Silver Hoop,Bandana,Black,Cigarette,Black Sunglasses
5765,5765.0,ApeGang #4234,Sheriff,Airpods,Hotel Porter,Brown,Cigarette,Gold Sunglasses
5766,5766.0,ApeGang #4233,Blue Hoodie,Gold Hoop,Flower Crown,Brown,Bubble Gum,Rainbow Sunglasses
5769,5769.0,ApeGang #4230,Joker,Diamond Stud,Green Beanie,Strong Dark Brown,Corn,Robot Glasses
5783,5783.0,ApeGang #4216,Groom,Gold Hoop,Horn,Cheetah,Baby Pacifier,Gold Sunglasses
5829,5829.0,ApeGang #4170,Joker,Bluetooth Earpiece,Flower Crown,Brown,Grillz,Heart
5890,5890.0,ApeGang #4109,Orange Striped T-Shirt,Silver Hoop,Magician,Strong Dark Brown,Drool Rainbow,Crazy
5894,5894.0,ApeGang #4105,White Tank Top,Bluetooth Earpiece,Propeller,Brown,Drool Rainbow,Heart
5913,5913.0,ApeGang #4086,Toga,Silver Hoop,Hotel Porter,Brown,Nose Ring,Cyclops
5917,5917.0,ApeGang #4082,Red Hawaiian Shirt,Gold Hoop,Groom,Strong Dark Brown,Grillz,3D Glasses
5966,5966.0,ApeGang #4033,Toga,Airpods,Crown,Cream,Snake,3D Glasses
6016,6016.0,ApeGang #3983,Black Tank Top,Gold Hoop,Flower Crown,Brown,Bubble Gum,Squinting
6017,6017.0,ApeGang #3982,Red Hawaiian Shirt,Diamond Stud,Crown,Brown,Shocked,Sad
6036,6036.0,ApeGang #3963,Space Suit,Bluetooth Earpiece,Chef's,Brown,Smoke Pipe,Bruised
6053,6053.0,ApeGang #3946,White Tank Top,Gold Hoop,Stuntman Helmet,Black,Shocked,Crazy
6063,6063.0,ApeGang #3936,Groom,Diamond Stud,Purple Beanie,Cream,Shocked,Sad
6072,6072.0,ApeGang #3927,Magician,Bluetooth Earpiece,Flower Crown,Brown,Grillz,Black Sunglasses
6089,6089.0,ApeGang #3910,Blue Hoodie,Gold Hoop,Pirate,Brown,Grillz,Black Sunglasses
6091,6091.0,ApeGang #3908,Prison Jumpsuit,Gold Hoop,Party,Brown,Joint,Cyclops
6103,6103.0,ApeGang #3896,Magician,Bluetooth Earpiece,Top Hat,Brown,Joint,Bruised
6149,6149.0,ApeGang #3850,Pirate,Gold Hoop,Magician,Brown,Yawn,3D Glasses
6171,6171.0,ApeGang #3828,Blue Hoodie,Silver Hoop,Red NBA Headband,Tiger,Smoke Pipe,Black Sunglasses
6211,6211.0,ApeGang #3788,Toga,Gold Hoop,Flower Crown,Cheetah,Beard,Black Sunglasses
6220,6220.0,ApeGang #3779,Pimp Coat,Airpods,Cop,Brown,Yawn,Diving Mask
6229,6229.0,ApeGang #3770,Banana Shirt,Bluetooth Earpiece,Propeller,Brown,Cigarette,Heart
6256,6256.0,ApeGang #3743,Fireman,Airpods,Yellow NBA Headband,Strong Dark Brown,Flames,Eye Patch
6291,6291.0,ApeGang #3708,Red Hawaiian Shirt,Silver Hoop,Brain,Cream,Drool Rainbow,Robot
6325,6325.0,ApeGang #3674,Orange Hawaiian Shirt ,Airpods,Borsalino,Brown,Joker,Hippie Glasses
6333,6333.0,ApeGang #3666,Yellow NBA Jersey,Gold Hoop,Rabbit Ears,Black,Grin Gold,Bruised
6344,6344.0,ApeGang #3655,Pirate,Gold Hoop,Military Helmet,White,Joint,Robot Glasses
6347,6347.0,ApeGang #3652,Military,Bluetooth Earpiece,Cowboy,Red Devil,Mustache,Devil
6364,6364.0,ApeGang #3635,Blue Hoodie,Silver Hoop,Crown,White,Smoke Pipe,Bruised
6405,6405.0,ApeGang #3594,Black Suit,Silver Hoop,Hotel Porter,Zombie,Joint,High
6460,6460.0,ApeGang #3539,Cop,Gold Hoop,Fisherman,Red Devil,Nose Ring,Alien
6534,6534.0,ApeGang #3465,Winter Coat,Gold Hoop,Pirate,Grey,Drool Rainbow,Gold Sunglasses
6551,6551.0,ApeGang #3448,Military,Silver Hoop,Cop,Brown,Snake,Scar
6559,6559.0,ApeGang #3440,Pirate,Bluetooth Earpiece,Banana,Black,Flames,Cyclops
6567,6567.0,ApeGang #3432,Pimp Coat,Diamond Stud,Viking Helmet,Cheetah,Shocked,Eye Patch
6618,6618.0,ApeGang #3381,Groom,Airpods,Flower Crown,Brown,Joker,Black Sunglasses
6628,6628.0,ApeGang #3371,White Tank Top,Diamond Stud,Propeller,Cream,Shocked,Hippie Glasses
6636,6636.0,ApeGang #3363,Indian,Diamond Stud,Sushi Chef,Tiger,Baby Pacifier,Bruised
6662,6662.0,ApeGang #3337,Fireman,Diamond Stud,Cop,Brown,Tongue Out,Alien
6699,6699.0,ApeGang #3300,Batman,Gold Hoop,Cowboy,Brown,Nose Ring,Scar
6709,6709.0,ApeGang #3290,Black Tank Top,Bluetooth Earpiece,Fireman,Strong Dark Brown,Grillz,Robot
6720,6720.0,ApeGang #3279,Black Suit,Diamond Stud,Brain,Brown,Baby Pacifier,Heart
6802,6802.0,ApeGang #3197,Purple Hoodie,Bluetooth Earpiece,Hippie Bandana,Cream,Grin Gold,Sad
6817,6817.0,ApeGang #3182,Military,Diamond Stud,Sombrero,Brown,Baby Pacifier,Cyclops
6903,6903.0,ApeGang #3096,Indian,Silver Hoop,Green Beanie,Brown,Grillz,3D Glasses
6936,6936.0,ApeGang #3063,Grey Striped T-Shirt,Bluetooth Earpiece,Flower Crown,Brown,Joint,Sad
6946,6946.0,ApeGang #3053,Military,Bluetooth Earpiece,Fisherman,White,Baby Pacifier,Hippie Glasses
6985,6985.0,ApeGang #3014,Lab Coat,Gold Hoop,Brain,Brown,Tongue Out,Albino
6988,6988.0,ApeGang #3011,Banana Shirt,Diamond Stud,Chef's,Cream,Snake,Rainbow Sunglasses
7009,7009.0,ApeGang #2990,Groom,Gold Hoop,Brown Beanie,Cheetah,Angry,Heart
7025,7025.0,ApeGang #2974,Magician,Airpods,Green Beanie,Brown,Flames,Monocle
7045,7045.0,ApeGang #2954,Lab Coat,Bluetooth Earpiece,Sombrero,Brown,Smoke Pipe,Gold Sunglasses
7057,7057.0,ApeGang #2942,Toga,Diamond Stud,Bandana,Strong Dark Brown,Mustache,Albino
7064,7064.0,ApeGang #2935,Pimp Coat,Gold Hoop,Crown,Brown,Nose Ring,Monocle
7086,7086.0,ApeGang #2913,Magician,Airpods,Cap,Strong Dark Brown,Shocked,Robot
7087,7087.0,ApeGang #2912,Sheriff,Bluetooth Earpiece,Magician,Rainbow,Baby Pacifier,Round Glasses
7109,7109.0,ApeGang #2890,Military,Diamond Stud,Groom,Brown,Snake,Bruised
7137,7137.0,ApeGang #2862,Yellow NBA Jersey,Airpods,Sombrero,Brown,Tongue Out,Robot
7142,7142.0,ApeGang #2857,Orange Striped T-Shirt,Silver Hoop,Borsalino,Black,Grin Gold,Scar
7151,7151.0,ApeGang #2848,Orange Hawaiian Shirt ,Airpods,Magician,Black,Mustache,Albino
7163,7163.0,ApeGang #2836,Toga,Airpods,Crown,Brown,Joint,Crazy
7262,7262.0,ApeGang #2770,Prison Jumpsuit,Diamond Stud,Borsalino,Grey,Grin Rainbow,Closed
7268,7268.0,ApeGang #2764,Prison Jumpsuit,Silver Hoop,Fisherman,Strong Dark Brown,Nose Ring,Cyclops
7314,7314.0,ApeGang #2718,Mexican,Diamond Stud,Military Helmet,Zebra,Joint,Devil
7315,7315.0,ApeGang #2717,Sheriff,Bluetooth Earpiece,Magician,Brown,Yawn,Gold Sunglasses
7317,7317.0,ApeGang #2715,Hotel Porter,Silver Hoop,Crown,Brown,Smoke Pipe,Monocle
7321,7321.0,ApeGang #2711,Groom,Silver Hoop,Viking Helmet,Cream,Cigarette,Robot
7325,7325.0,ApeGang #2707,Winter Coat,Silver Hoop,Groom,Brown,Cigarette,Gold Sunglasses
7331,7331.0,ApeGang #2701,Red NBA Jersey,Gold Hoop,Laurel,Brown,Joint,Alien
7334,7334.0,ApeGang #2698,Red Hawaiian Shirt,Silver Hoop,Hotel Porter,Cream,Grillz,Rainbow Sunglasses
7378,7378.0,ApeGang #2654,Black Suit,Bluetooth Earpiece,Magician,Brown,Drool Rainbow,Robot Glasses
7406,7406.0,ApeGang #2626,Military,Bluetooth Earpiece,Bandana,Brown,Flames,Eye Patch
7418,7418.0,ApeGang #2614,Batman,Silver Hoop,Military Helmet,Zebra,Tongue Out,Strabismus
7421,7421.0,ApeGang #2611,Fireman,Gold Hoop,Fisherman,White,Corn,Robot Glasses
7443,7443.0,ApeGang #2589,Banana Shirt,Gold Hoop,Chef's,Zebra,Oh,Crazy
7449,7449.0,ApeGang #2583,Grey Striped T-Shirt,Diamond Stud,Propeller,Strong Dark Brown,Nose Ring,Gold Sunglasses
7472,7472.0,ApeGang #2560,Military,Gold Hoop,Brain,Black,Oh,Scar
7473,7473.0,ApeGang #2559,Pirate,Airpods,Cowboy,Strong Dark Brown,Snake,Albino
7496,7496.0,ApeGang #2536,Angel Wings,Gold Hoop,Green Beanie,Black,Smoke Pipe,High
7534,7534.0,ApeGang #2498,Cop,Bluetooth Earpiece,Red NBA Headband,Strong Dark Brown,Angry,Albino
7537,7537.0,ApeGang #2495,Magician,Gold Hoop,Sombrero,Strong Dark Brown,Joint,Crazy
7554,7554.0,ApeGang #2478,Military,Silver Hoop,Sushi Chef,Cream,Angry,Round Glasses
7571,7571.0,ApeGang #2461,Hotel Porter,Bluetooth Earpiece,Purple Beanie,Strong Dark Brown,Covid Mask,Bruised
