,Unnamed: 0,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
274,274.0,ApeGang #9736,Military,,Sushi Chef,Brown,Grin Rainbow,
276,276.0,ApeGang #9734,Lumberjack,,,Strong Dark Brown,Grin Gold,Monocle
280,280.0,ApeGang #9730,Lab Coat,,Groom,Grey,Baby Pacifier,
283,283.0,ApeGang #9727,Red NBA Jersey,,,Cream,Covid Mask,Sad
284,284.0,ApeGang #9726,Groom,Airpods,,Brown,Oh,
286,286.0,ApeGang #9724,Lumberjack,,Hotel Porter,White,Beard,
291,291.0,ApeGang #9719,Prison Jumpsuit,,Viking Helmet,Grey,Flames,
292,292.0,ApeGang #9718,Yellow NBA Jersey,Silver Hoop,,Black,,Laser
294,294.0,ApeGang #9716,Red Hawaiian Shirt,Diamond Stud,Sushi Chef,Black,,
296,296.0,ApeGang #9714,Sheriff,,Cap,Brown,,Gold Sunglasses
297,297.0,ApeGang #9713,Banana Shirt,,,Black,Tongue Out,Eye Patch
302,302.0,ApeGang #9708,Magician,,,Brown,Beard,Diving Mask
303,303.0,ApeGang #9707,Magician,,Military Helmet,Brown,Mustache,
305,305.0,ApeGang #9705,Magician,,,Cream,Flames,Black Sunglasses
307,307.0,ApeGang #9703,,,Brain,Rainbow,Bubble Gum,Closed
309,309.0,ApeGang #9701,Banana Shirt,,Groom,Black,,Gold Sunglasses
317,317.0,ApeGang #9693,Pirate,,Fireman,Grey,,Hippie Glasses
319,319.0,ApeGang #9691,Lab Coat,,Purple Beanie,Brown,,Robot Glasses
320,320.0,ApeGang #9690,Orange Striped T-Shirt,Airpods,,White,,Rainbow Sunglasses
324,324.0,ApeGang #9686,Hippie,,Cowboy,Black,,Black Sunglasses
326,326.0,ApeGang #9684,Black Suit,,Rabbit Ears,Cream,,Scar
327,327.0,ApeGang #9683,Joker,,,Brown,Beard,Scar
330,330.0,ApeGang #9680,Black Suit,,Stuntman Helmet,Cream,,Squinting
332,332.0,ApeGang #9678,Purple Hoodie,Bluetooth Earpiece,,Brown,,Robot Glasses
335,335.0,ApeGang #9675,Pirate,,,White,Drool Rainbow,Rainbow Sunglasses
337,337.0,ApeGang #9673,Military,,,Brown,Covid Mask,3D Glasses
338,338.0,ApeGang #9672,Magician,,Sushi Chef,Cheetah,Smoke Pipe,
340,340.0,ApeGang #9670,,,Hotel Porter,Brown,Cigarette,3D Glasses
341,341.0,ApeGang #9669,Groom,,Cop,Brown,,Robot Glasses
342,342.0,ApeGang #9668,Banana Shirt,,,Cream,Grillz,Robot
343,343.0,ApeGang #9667,Lumberjack,Silver Hoop,Stuntman Helmet,Brown,,
345,345.0,ApeGang #9665,Orange Hawaiian Shirt ,,,Brown,Flames,Round Glasses
347,347.0,ApeGang #9663,Orange Hawaiian Shirt ,,Banana,Cream,Grin Gold,
348,348.0,ApeGang #9662,,,Cop,Rainbow,Mustache,Gold Sunglasses
349,349.0,ApeGang #9661,Military,Gold Hoop,,Brown,Cigarette,
350,350.0,ApeGang #9660,Pirate,Airpods,,Zebra,Drool Rainbow,
351,351.0,ApeGang #9659,Lumberjack,,,Black,Beard,Hippie Glasses
352,352.0,ApeGang #9658,Mexican,,,Robot,Grin Rainbow,Cyclops
355,355.0,ApeGang #9655,Lab Coat,Gold Hoop,Rabbit Ears,Brown,,
357,357.0,ApeGang #9653,Grey Striped T-Shirt,Bluetooth Earpiece,Chef's,Zebra,,
362,362.0,ApeGang #9648,Blue Hoodie,,Cop,Brown,,Black Sunglasses
364,364.0,ApeGang #9646,,,Bandana,Strong Dark Brown,Nose Ring,Squinting
365,365.0,ApeGang #9645,Indian,,Groom,Brown,,Blind
366,366.0,ApeGang #9644,Banana Shirt,Bluetooth Earpiece,Yellow NBA Headband,Cream,,
367,367.0,ApeGang #9643,Fireman,,Horn,Cream,Angry,
369,369.0,ApeGang #9641,Nurse,Diamond Stud,Bandana,Brown,,
371,371.0,ApeGang #9639,Fireman,,,Strong Dark Brown,Grin Rainbow,Eye Patch
373,373.0,ApeGang #9637,Grey Striped T-Shirt,,Borsalino,Brown,Snake,
380,380.0,ApeGang #9630,Mexican,,Propeller,Brown,,Hippie Glasses
381,381.0,ApeGang #9629,Military,,Propeller,Brown,Grin Rainbow,
383,383.0,ApeGang #9627,Banana Shirt,,Cowboy,Alien,,Devil
391,391.0,ApeGang #9619,Red Hawaiian Shirt,,Laurel,Brown,Shocked,
393,393.0,ApeGang #9617,Prison Jumpsuit,,Sushi Chef,Cream,Baby Pacifier,
394,394.0,ApeGang #9616,,Silver Hoop,,Cream,Grillz,Alien
395,395.0,ApeGang #9615,Red NBA Jersey,,Fisherman,Brown,Cigarette,
397,397.0,ApeGang #9613,Lab Coat,,,Black,Mustache,Monocle
405,405.0,ApeGang #9605,Red NBA Jersey,,Yellow NBA Headband,Tiger,Nose Ring,
407,407.0,ApeGang #9603,Indian,,Brain,Rainbow,,Crazy
408,408.0,ApeGang #9602,Cop,,,Brown,Grin Rainbow,Bruised
411,411.0,ApeGang #9599,,,War Bonnet,Brown,Smoke Pipe,Bruised
416,416.0,ApeGang #9594,Blue Hoodie,,Fireman,Grey,,3D Glasses
417,417.0,ApeGang #9593,Indian,,Nurse,Black,Baby Pacifier,
422,422.0,ApeGang #9588,Magician,,Rabbit Ears,Brown,Nose Ring,
425,425.0,ApeGang #9585,Military,,,Strong Dark Brown,Tongue Out,Laser
426,426.0,ApeGang #9584,Pirate,,,Strong Dark Brown,Grin Rainbow,Black Sunglasses
434,434.0,ApeGang #9576,Black Suit,,Sombrero,Strong Dark Brown,,Black Sunglasses
437,437.0,ApeGang #9573,,Silver Hoop,Bandana,Brown,,Gold Sunglasses
439,439.0,ApeGang #9571,Banana Shirt,Bluetooth Earpiece,,Grey,Bubble Gum,
440,440.0,ApeGang #9570,Nurse,,,Brown,Beard,Cyclops
442,442.0,ApeGang #9568,Winter Coat,,,White,Grillz,Cyclops
448,448.0,ApeGang #9562,Blue Hoodie,,Nurse,Brown,Yawn,
451,451.0,ApeGang #9559,,,Halo,Cheetah,Yawn,Eye Patch
452,452.0,ApeGang #9558,Black Suit,,Fisherman,Brown,,Hippie Glasses
454,454.0,ApeGang #9556,Red Hawaiian Shirt,,,Grey,Drool Rainbow,Round Glasses
457,457.0,ApeGang #9553,Sheriff,Silver Hoop,Cap,Strong Dark Brown,,
458,458.0,ApeGang #9552,Cop,,,Brown,Joker,Black Sunglasses
460,460.0,ApeGang #9550,Blue Hoodie,,,Brown,Beard,Gold Sunglasses
461,461.0,ApeGang #9549,,Diamond Stud,,Brown,Cigarette,Crazy
462,462.0,ApeGang #9548,,,Brown Beanie,Brown,Angry,Eye Patch
464,464.0,ApeGang #9546,Magician,Diamond Stud,,Strong Dark Brown,Drool Rainbow,
467,467.0,ApeGang #9543,,Silver Hoop,Laurel,Strong Dark Brown,Smoke Pipe,
469,469.0,ApeGang #9541,Military,,Hippie Bandana,Cream,,Devil
470,470.0,ApeGang #9540,Cop,Gold Hoop,,Black,,Squinting
471,471.0,ApeGang #9539,Red Hawaiian Shirt,,Crown,Cream,Joint,
472,472.0,ApeGang #9538,Lumberjack,Diamond Stud,,Brown,,Robot
474,474.0,ApeGang #9536,,Diamond Stud,Pirate,Brown,,Strabismus
475,475.0,ApeGang #9535,Winter Coat,,,Strong Dark Brown,Snake,Sad
477,477.0,ApeGang #9533,Magician,,Green Beanie,Brown,Yawn,
479,479.0,ApeGang #9531,Hotel Porter,,Purple Beanie,Brown,Oh,
488,488.0,ApeGang #9522,Sheriff,,,Brown,Grillz,Sad
489,489.0,ApeGang #9521,,,Hippie Bandana,Brown,Baby Pacifier,Closed
494,494.0,ApeGang #9516,Grey Striped T-Shirt,Bluetooth Earpiece,,Strong Dark Brown,,Monocle
497,497.0,ApeGang #9513,,Diamond Stud,Cop,Strong Dark Brown,,3D Glasses
499,499.0,ApeGang #9511,Mexican,,Pirate,Tiger,,Bruised
504,504.0,ApeGang #9506,Lab Coat,,,Tiger,Yawn,Heart
512,512.0,ApeGang #9498,Pirate,,Groom,Zebra,,Bruised
514,514.0,ApeGang #9496,Magician,,Rabbit Ears,Brown,Flames,
517,517.0,ApeGang #9493,,Silver Hoop,Military Helmet,Brown,Baby Pacifier,
520,520.0,ApeGang #9490,Lumberjack,,Pirate,Brown,,Diving Mask
523,523.0,ApeGang #9487,,,Fisherman,Zebra,Bubble Gum,Eye Patch
524,524.0,ApeGang #9486,Black Tank Top,,Crown,Cream,Drool Rainbow,
529,529.0,ApeGang #9481,Indian,,Flower Crown,Strong Dark Brown,Oh,
530,530.0,ApeGang #9480,Grey Striped T-Shirt,,Halo,Brown,,Scar
532,532.0,ApeGang #9478,Purple Hoodie,,Sushi Chef,Rainbow,Bubble Gum,
539,539.0,ApeGang #9471,,Diamond Stud,Cap,White,Grin Gold,
542,542.0,ApeGang #9468,Purple Hoodie,,Borsalino,Strong Dark Brown,,Crazy
543,543.0,ApeGang #9467,Prison Jumpsuit,,Horn,Black,Snake,
548,548.0,ApeGang #9462,Groom,,,Tiger,Snake,Eye Patch
549,549.0,ApeGang #9461,Cop,,Halo,Grey,,Albino
550,550.0,ApeGang #9460,Lab Coat,,Joker Hair,Brown,,Sad
553,553.0,ApeGang #9457,Grey Striped T-Shirt,,Flower Crown,Brown,,Monocle
557,557.0,ApeGang #9453,,,Party,Strong Dark Brown,Covid Mask,Crazy
558,558.0,ApeGang #9452,Black Suit,,Crown,Brown,Flames,
561,561.0,ApeGang #9449,Black Suit,Diamond Stud,Crown,Strong Dark Brown,,
563,563.0,ApeGang #9447,White Tank Top,Airpods,Red NBA Headband,Brown,,
565,565.0,ApeGang #9445,Toga,Diamond Stud,,Brown,Yawn,
566,566.0,ApeGang #9444,Orange Striped T-Shirt,,,Brown,Mustache,Rainbow Sunglasses
568,568.0,ApeGang #9442,Pirate,,,Brown,Covid Mask,Heart
569,569.0,ApeGang #9441,Fireman,,,Cream,Beard,Heart
570,570.0,ApeGang #9440,Pimp Coat,,Fireman,Black,Smoke Pipe,
571,571.0,ApeGang #9439,,,Crown,White,Yawn,Eye Patch
572,572.0,ApeGang #9438,Groom,,,Brown,Nose Ring,Blind
573,573.0,ApeGang #9437,,,Halo,Cheetah,Oh,3D Glasses
575,575.0,ApeGang #9435,Red NBA Jersey,,Borsalino,Brown,Covid Mask,
577,577.0,ApeGang #9433,Hippie,,Banana,Cream,Snake,
578,578.0,ApeGang #9432,Yellow NBA Jersey,,,Brown,Covid Mask,Gold Sunglasses
583,583.0,ApeGang #9427,Purple Hoodie,,,Brown,Bubble Gum,Monocle
584,584.0,ApeGang #9426,Nurse,,,Brown,Corn,Squinting
585,585.0,ApeGang #9425,Lab Coat,,Military Helmet,Cheetah,Mustache,
588,588.0,ApeGang #9422,Fireman,,Nurse,Black,Joker,
589,589.0,ApeGang #9421,Orange Hawaiian Shirt ,,Red NBA Headband,Cream,,Monocle
590,590.0,ApeGang #9420,Hippie,,,Brown,Grin Gold,High
592,592.0,ApeGang #9418,,,Propeller,Zebra,Angry,Alien
593,593.0,ApeGang #9417,Hippie,,Nurse,Brown,,High
595,595.0,ApeGang #9415,,,Borsalino,White,Joint,Gold Sunglasses
597,597.0,ApeGang #9413,Pirate,,Flower Crown,Brown,Tongue Out,
598,598.0,ApeGang #9412,Fireman,,Red NBA Headband,Zebra,,Hippie Glasses
599,599.0,ApeGang #9411,,,War Bonnet,Zebra,Snake,Eye Patch
601,601.0,ApeGang #9409,Purple Hoodie,,Military Helmet,Brown,Joker,
605,605.0,ApeGang #9405,Grey Striped T-Shirt,,Brown Beanie,Brown,,Closed
613,613.0,ApeGang #9397,Magician,,Cap,Rainbow,Yawn,
616,616.0,ApeGang #9394,Lab Coat,,Crown,Strong Dark Brown,,Scar
619,619.0,ApeGang #9391,Fireman,,,White,Nose Ring,Closed
623,623.0,ApeGang #9387,,,Viking Helmet,Tiger,Grillz,Blind
624,624.0,ApeGang #9386,Prison Jumpsuit,,Red NBA Headband,Grey,,Eye Patch
627,627.0,ApeGang #9383,Iron Man,,Stuntman Helmet,Zebra,Baby Pacifier,
629,629.0,ApeGang #9381,,,Banana,Brown,Baby Pacifier,Robot Glasses
631,631.0,ApeGang #9379,Red Hawaiian Shirt,,Horn,Brown,Snake,
634,634.0,ApeGang #9376,Nurse,,,Tiger,Nose Ring,Crazy
637,637.0,ApeGang #9373,Purple Hoodie,,,Zebra,Tongue Out,Strabismus
644,644.0,ApeGang #9366,Cop,,Cap,Brown,Drool Rainbow,
645,645.0,ApeGang #9365,Red Hawaiian Shirt,,Borsalino,Black,,Eye Patch
647,647.0,ApeGang #9363,Iron Man,,,Black,Smoke Pipe,Eye Patch
652,652.0,ApeGang #9358,Hippie,,,Black,Oh,Alien
653,653.0,ApeGang #9357,Orange Hawaiian Shirt ,,Fisherman,Cream,Shocked,
654,654.0,ApeGang #9356,Red NBA Jersey,,,Black,Snake,Laser
659,659.0,ApeGang #9351,Blue Hoodie,,,Brown,Nose Ring,Heart
660,660.0,ApeGang #9350,Lab Coat,,Propeller,Brown,,Rainbow Sunglasses
661,661.0,ApeGang #9349,Hippie,,Rabbit Ears,Cheetah,Shocked,
664,664.0,ApeGang #9346,Joker,,Propeller,Zebra,Grillz,
666,666.0,ApeGang #9344,Pimp Coat,Gold Hoop,Borsalino,Brown,,
669,669.0,ApeGang #9341,,Silver Hoop,Brain,Brown,,Scar
671,671.0,ApeGang #9339,Orange Striped T-Shirt,Diamond Stud,,Brown,,3D Glasses
677,677.0,ApeGang #9333,,,Sushi Chef,Strong Dark Brown,Shocked,Round Glasses
679,679.0,ApeGang #9331,Nurse,,,Brown,Shocked,Alien
687,687.0,ApeGang #9323,Lumberjack,,,Cream,Grin Rainbow,Black Sunglasses
689,689.0,ApeGang #9321,Cop,,Rabbit Ears,Red Devil,,Heart
691,691.0,ApeGang #9319,Hotel Porter,,,Tiger,Smoke Pipe,Black Sunglasses
698,698.0,ApeGang #9312,,Silver Hoop,,Brown,Flames,Rainbow Sunglasses
703,703.0,ApeGang #9307,Sheriff,,Banana,Strong Dark Brown,Mustache,
704,704.0,ApeGang #9306,Lumberjack,,Propeller,Brown,Grin Rainbow,
706,706.0,ApeGang #9304,Magician,,Nurse,Black,,Closed
707,707.0,ApeGang #9303,Pimp Coat,,,White,Mustache,Scar
708,708.0,ApeGang #9302,Cop,,,Brown,Grin Rainbow,Hippie Glasses
710,710.0,ApeGang #9300,Red Hawaiian Shirt,,,Strong Dark Brown,Nose Ring,Devil
711,711.0,ApeGang #9299,Lab Coat,,Magician,Tiger,,Black Sunglasses
715,715.0,ApeGang #9295,,Diamond Stud,Party,Cream,Flames,
716,716.0,ApeGang #9294,Groom,,,Cream,Grin Rainbow,Bruised
717,717.0,ApeGang #9293,Groom,,Groom,Cream,Nose Ring,
719,719.0,ApeGang #9291,Fireman,Airpods,,Black,,Hippie Glasses
722,722.0,ApeGang #9288,Grey Striped T-Shirt,,Military Helmet,Brown,Covid Mask,
723,723.0,ApeGang #9287,Pirate,,Sombrero,Brown,,Hippie Glasses
726,726.0,ApeGang #9284,Fireman,,,Cream,Shocked,3D Glasses
730,730.0,ApeGang #9280,Lab Coat,,,Brown,Baby Pacifier,Devil
732,732.0,ApeGang #9278,Iron Man,,,Brown,Yawn,Eye Patch
736,736.0,ApeGang #9274,Hippie,,Nurse,Grey,,Hippie Glasses
739,739.0,ApeGang #9271,Hippie,,Magician,Grey,,Strabismus
743,743.0,ApeGang #9267,Lumberjack,,Groom,Brown,,Diving Mask
748,748.0,ApeGang #9262,,,Cop,Brown,Tongue Out,Gold Sunglasses
751,751.0,ApeGang #9259,Lumberjack,,Horn,Brown,Cigarette,
752,752.0,ApeGang #9258,Red Hawaiian Shirt,,Top Hat,Strong Dark Brown,,Cyclops
766,766.0,ApeGang #9244,Pimp Coat,,,Brown,Oh,Hippie Glasses
768,768.0,ApeGang #9242,Lumberjack,,Banana,Brown,,Gold Sunglasses
770,770.0,ApeGang #9240,Black Suit,,Hippie Bandana,Grey,Nose Ring,
773,773.0,ApeGang #9237,Cop,,,Brown,Joker,Robot
774,774.0,ApeGang #9236,Grey Striped T-Shirt,Diamond Stud,,Brown,,Robot
775,775.0,ApeGang #9235,,,Brain,Zebra,Beard,Closed
778,778.0,ApeGang #9232,Magician,Airpods,,Strong Dark Brown,Shocked,
780,780.0,ApeGang #9230,Black Suit,,Flower Crown,Strong Dark Brown,,Bruised
781,781.0,ApeGang #9229,Military,,Hotel Porter,Brown,Shocked,
785,785.0,ApeGang #9225,,,Party,Cheetah,Nose Ring,Rainbow Sunglasses
787,787.0,ApeGang #9223,Grey Striped T-Shirt,,Flower Crown,Cheetah,Snake,
788,788.0,ApeGang #9222,Orange Striped T-Shirt,,Cap,Black,Shocked,
792,792.0,ApeGang #9218,,,Hippie Bandana,Black,Yawn,Sad
793,793.0,ApeGang #9217,Pirate,,,Cream,Beard,Gold Sunglasses
795,795.0,ApeGang #9215,Cop,,Fireman,Brown,Bubble Gum,
797,797.0,ApeGang #9213,,,Laurel,Strong Dark Brown,Joint,Sad
800,800.0,ApeGang #9209,Toga,,Fisherman,Brown,,Rainbow Sunglasses
802,802.0,ApeGang #9207,Mexican,,Stuntman Helmet,Brown,Mustache,
807,807.0,ApeGang #9202,Pimp Coat,Gold Hoop,Bandana,Brown,,
810,810.0,ApeGang #9199,Hippie,,Party,Red Devil,Grin Gold,
812,812.0,ApeGang #9197,Cop,,,Red Devil,Snake,Black Sunglasses
817,817.0,ApeGang #9191,Indian,,,Brown,Yawn,Cyclops
820,820.0,ApeGang #9187,,,Hippie Bandana,Cream,Joker,Scar
