ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
ApeGang #1061,,,Pirate,Brown,,
ApeGang #1059,Grey Striped T-Shirt,,,Brown,,
ApeGang #1053,Pirate,,,Tiger,,
ApeGang #1040,,,,Black,,Crazy
ApeGang #1031,Red Hawaiian Shirt,,,Brown,,
ApeGang #1012,Military,,,Brown,,
ApeGang #991,,,,Brown,,3D Glasses
ApeGang #980,,,,Brown,Drool Rainbow,
ApeGang #950,,,,Brown,Angry,
ApeGang #945,Orange Striped T-Shirt,,,Brown,,
ApeGang #909,,,,Brown,Smoke Pipe,
ApeGang #905,,,,Zebra,Smoke Pipe,
ApeGang #890,,,,Brown,Baby Pacifier,
ApeGang #882,,,,Cheetah,,Devil
ApeGang #817,Lumberjack,,,Brown,,
ApeGang #816,,,Party,Brown,,
ApeGang #811,,,,White,,Bruised
ApeGang #809,Groom,,,Strong Dark Brown,,
ApeGang #800,,,Batman,Red Devil,,
ApeGang #782,Angel Wings,,,Zebra,,
ApeGang #776,,,Headphone,Brown,,
ApeGang #731,,,,Brown,,Round Glasses
ApeGang #717,Toga,,,Grey,,
ApeGang #699,,,,Black,,Alien
ApeGang #689,Red Hawaiian Shirt,,,Robot,,
ApeGang #661,,,,Strong Dark Brown,,Albino
ApeGang #596,,,,Brown,,Heart
ApeGang #560,,,,Alien,Oh,
ApeGang #549,Red NBA Jersey,,,Brown,,
ApeGang #547,,,,Brown,Nose Ring,
ApeGang #509,,,,Robot,,Heart
ApeGang #484,,,,Rainbow,,Closed
ApeGang #474,Groom,,,Brown,,
ApeGang #454,Toga,,,Brown,,
ApeGang #427,,Bluetooth Earpiece,,Brown,,
ApeGang #399,Yellow NBA Jersey,,,Brown,,
ApeGang #384,,,,Strong Dark Brown,,Hippie Glasses
ApeGang #356,,,,Brown,Mustache,
ApeGang #336,Purple Hoodie,,,Cream,,
ApeGang #322,,,,Strong Dark Brown,,Blind
ApeGang #287,,,Red NBA Headband,Brown,,
ApeGang #246,,,,Strong Dark Brown,Nose Ring,
ApeGang #238,Blue Hoodie,,,Brown,,
ApeGang #226,Fireman,,,Cheetah,,
ApeGang #224,Lab Coat,,,Brown,,
ApeGang #220,,,,Brown,Yawn,
ApeGang #188,Angel Wings,,,Red Devil,,
ApeGang #174,,,Chef's,Black,,
ApeGang #173,,,,Strong Dark Brown,,Bruised
ApeGang #152,,,Magician,Brown,,
ApeGang #150,,,Fireman,Cheetah,,
ApeGang #118,Prison Jumpsuit,,,Brown,,
ApeGang #112,Pimp Coat,,,Brown,,
ApeGang #87,White Tank Top,,,White,,
ApeGang #66,Red NBA Jersey,,,Strong Dark Brown,,
ApeGang #47,,,Brain,Brown,,
ApeGang #40,,,,Brown,,Robot
ApeGang #38,,,,Brown,,Monocle
ApeGang #5,Banana Shirt,,,Strong Dark Brown,,
