ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,Sum Rarity,Mean Rarity
ApeGang #8835,Blue Hoodie,Airpods,Crown,Cheetah,Joint,3D Glasses,11.23,2.8075
ApeGang #8815,Yellow NBA Jersey,Airpods,Sushi Chef,Brown,Joint,Scar,50.96,12.74
ApeGang #8812,Winter Coat,Diamond Stud,Sombrero,Brown,Nose Ring,Black Sunglasses,51.99,12.9975
ApeGang #8809,White Tank Top,Gold Hoop,Pirate,Zebra,Joint,Scar,13.15,3.2875
ApeGang #8778,Red NBA Jersey,Diamond Stud,Hotel Porter,Brown,Covid Mask,Bruised,50.42,12.605
ApeGang #8772,Hotel Porter,Diamond Stud,Military Helmet,Grey,Angry,Gold Sunglasses,17.73,4.4325
ApeGang #8767,Blue Hoodie,Bluetooth Earpiece,Cap,Brown,Smoke Pipe,Round Glasses,50.769999999999996,12.692499999999999
ApeGang #8761,Black Suit,Diamond Stud,Sombrero,Brown,Beard,Rainbow Sunglasses,49.13,12.2825
ApeGang #8713,Red NBA Jersey,Diamond Stud,Yellow NBA Headband,Brown,Baby Pacifier,Rainbow Sunglasses,49.419999999999995,12.354999999999999
ApeGang #8680,Orange Hawaiian Shirt ,Bluetooth Earpiece,Chef's,Brown,Joker,Hippie Glasses,49.43,12.3575
ApeGang #8676,Nurse,Airpods,Military Helmet,Black,Oh,Hippie Glasses,16.729999999999997,4.182499999999999
ApeGang #8667,Orange Hawaiian Shirt ,Diamond Stud,Nurse,Brown,Snake,Black Sunglasses,52.099999999999994,13.024999999999999
ApeGang #8663,Magician,Bluetooth Earpiece,Brain,Cream,Beard,Robot,16.29,4.0725
ApeGang #8652,Blue Hoodie,Diamond Stud,Bandana,Grey,Snake,Monocle,16.71,4.1775
ApeGang #8651,Blue Hoodie,Silver Hoop,Stuntman Helmet,Brown,Beard,Cyclops,49.31999999999999,12.329999999999998
ApeGang #8650,White Tank Top,Silver Hoop,Sushi Chef,Brown,Joint,3D Glasses,50.64,12.66
ApeGang #8647,Nurse,Silver Hoop,Military Helmet,Brown,Mustache,Eye Patch,50.59,12.6475
ApeGang #8629,Nurse,Airpods,Military Helmet,Brown,Snake,Scar,50.98,12.745
ApeGang #8621,White Tank Top,Diamond Stud,Hotel Porter,Brown,Drool Rainbow,Gold Sunglasses,52.04,13.01
ApeGang #8569,Toga,Airpods,Groom,Grey,Grin Gold,Strabismus,14.53,3.6325
ApeGang #8545,Lumberjack,Diamond Stud,Red NBA Headband,Brown,Oh,Black Sunglasses,51.84,12.96
ApeGang #8534,Red NBA Jersey,Bluetooth Earpiece,Cap,Black,Nose Ring,Rainbow Sunglasses,15.37,3.8425
ApeGang #8519,Lab Coat,Diamond Stud,Brain,Strong Dark Brown,Angry,Scar,19.61,4.9025
ApeGang #8518,Blue Hoodie,Bluetooth Earpiece,Cop,Brown,Mustache,Heart,50.7,12.675
ApeGang #8491,Lab Coat,Airpods,Rabbit Ears,Brown,Joker,3D Glasses,49.19,12.2975
ApeGang #8419,Winter Coat,Gold Hoop,Top Hat,Brown,Baby Pacifier,Round Glasses,50.959999999999994,12.739999999999998
ApeGang #8380,Lumberjack,Airpods,Yellow NBA Headband,Strong Dark Brown,Corn,Heart,19.38,4.845
ApeGang #8361,Magician,Silver Hoop,Chef's,Brown,Beard,Crazy,50.86000000000001,12.715000000000002
ApeGang #8294,Cop,Airpods,Party,Tiger,Joker,Eye Patch,12.04,3.01
ApeGang #8284,Black Suit,Gold Hoop,Stuntman Helmet,Cream,Grillz,Alien,15.870000000000003,3.9675000000000007
ApeGang #8247,Red NBA Jersey,Gold Hoop,Red NBA Headband,Strong Dark Brown,Yawn,Blind,17.71,4.4275
ApeGang #8151,Blue Hoodie,Bluetooth Earpiece,Sushi Chef,Cream,Snake,Robot,16.220000000000002,4.055000000000001
ApeGang #8136,Black Tank Top,Bluetooth Earpiece,Nurse,Tiger,Baby Pacifier,Heart,13.68,3.42
ApeGang #8049,Banana Shirt,Diamond Stud,Pirate,Brown,Oh,Laser,48.58,12.145
ApeGang #8024,Hotel Porter,Airpods,Rabbit Ears,Black,Nose Ring,Round Glasses,17.24,4.31
ApeGang #8009,Fireman,Bluetooth Earpiece,Party,Black,Angry,Rainbow Sunglasses,15.33,3.8325
ApeGang #7998,Purple Hoodie,Airpods,Brain,Brown,Yawn,Round Glasses,51.28999999999999,12.822499999999998
ApeGang #7992,Black Suit,Diamond Stud,Brown Beanie,Brown,Angry,Black Sunglasses,51.92,12.98
ApeGang #7984,Yellow NBA Jersey,Bluetooth Earpiece,Horn,Black,Grillz,Hippie Glasses,17.7,4.425
ApeGang #7982,Batman,Airpods,Horn,Strong Dark Brown,Baby Pacifier,Round Glasses,19.64,4.91
