,ape_id,canc_event_id,canc_event_time
0,ApeGang #3776,1465143092,2021-10-20T22:57:04.028348
0,ApeGang #9273,1465011568,2021-10-20T22:41:52.867770
0,ApeGang #9273,1465165732,2021-10-20T22:59:38.687034
0,ApeGang #743,1464859828,2021-10-20T22:24:29.331229
0,ApeGang #4273,1464828050,2021-10-20T22:20:58.754970
0,ApeGang #4273,1464828080,2021-10-20T22:20:58.927391
0,ApeGang #7095,1464800970,2021-10-20T22:17:54.267983
0,ApeGang #2555,1464768562,2021-10-20T22:14:24.992950
0,ApeGang #2555,1464751418,2021-10-20T22:12:31.713104
0,ApeGang #344,1464716442,2021-10-20T22:08:43.162290
0,ApeGang #9273,1464716506,2021-10-20T22:08:43.495803
0,ApeGang #344,1464716562,2021-10-20T22:08:43.714533
0,ApeGang #4593,1464493073,2021-10-20T21:44:52.661968
0,ApeGang #180,1464135797,2021-10-20T21:05:27.473854
0,ApeGang #9535,1462669640,2021-10-20T18:35:02.912488
0,ApeGang #5374,1462576321,2021-10-20T18:25:13.932686
0,ApeGang #3262,1462457304,2021-10-20T18:12:12.690310
0,ApeGang #1237,1461920814,2021-10-20T17:11:55.794497
0,ApeGang #1237,1461914507,2021-10-20T17:11:13.929983
0,ApeGang #8495,1460282468,2021-10-20T14:29:28.827492
0,ApeGang #8495,1460282493,2021-10-20T14:29:28.918016
0,ApeGang #2635,1460255061,2021-10-20T14:27:10.198913
0,ApeGang #2635,1460251462,2021-10-20T14:26:52.235038
0,ApeGang #6022,1459914915,2021-10-20T13:59:12.935791
0,ApeGang #2294,1459754604,2021-10-20T13:45:00.581100
0,ApeGang #9061,1459204206,2021-10-20T13:01:40.187161
0,ApeGang #9897,1455733247,2021-10-20T08:14:27.046633
0,ApeGang #3040,1455727667,2021-10-20T08:14:00.378719
0,ApeGang #3040,1455714310,2021-10-20T08:12:54.113415
0,ApeGang #6967,1453474442,2021-10-20T04:39:34.889068
0,ApeGang #2902,1452521883,2021-10-20T03:07:02.509285
0,ApeGang #2902,1452521800,2021-10-20T03:07:02.069949
0,ApeGang #6194,1452098610,2021-10-20T02:29:54.964192
0,ApeGang #9287,1451782650,2021-10-20T02:00:54.260603
0,ApeGang #422,1451550593,2021-10-20T01:40:25.769661
0,ApeGang #5376,1451055454,2021-10-20T00:55:06.709983
0,ApeGang #5376,1451043678,2021-10-20T00:54:04.947781
0,ApeGang #9729,1450571305,2021-10-20T00:10:29.558708
0,ApeGang #8320,1449293497,2021-10-19T22:06:05.986692
0,ApeGang #1634,1447564543,2021-10-19T19:28:07.302057
0,ApeGang #3965,1447138017,2021-10-19T18:50:44.511042
0,ApeGang #3965,1447125759,2021-10-19T18:49:34.476434
0,ApeGang #3965,1447057723,2021-10-19T18:43:13.873667
0,ApeGang #2438,1446865603,2021-10-19T18:26:13.321886
0,ApeGang #9273,1445126725,2021-10-19T16:02:22.567555
0,ApeGang #1228,1444022184,2021-10-19T14:30:36.567216
0,ApeGang #1125,1443597793,2021-10-19T13:56:16.811823
0,ApeGang #929,1443471847,2021-10-19T13:45:59.573028
0,ApeGang #3491,1442377645,2021-10-19T12:08:53.380231
0,ApeGang #9255,1441206008,2021-10-19T10:25:48.313790
0,ApeGang #1125,1440861565,2021-10-19T09:55:06.710372
0,ApeGang #2908,1439531786,2021-10-19T08:05:10.218295
0,ApeGang #2908,1439511706,2021-10-19T08:03:32.398588
0,ApeGang #4256,1439362028,2021-10-19T07:51:15.893878
0,ApeGang #4256,1439362033,2021-10-19T07:51:15.911846
0,ApeGang #5069,1438903969,2021-10-19T07:11:47.606609
0,ApeGang #5069,1438896861,2021-10-19T07:11:08.553215
0,ApeGang #8202,1438316842,2021-10-19T06:21:16.630478
0,ApeGang #4418,1438244880,2021-10-19T06:15:04.963735
0,ApeGang #4418,1438244995,2021-10-19T06:15:05.387979
0,ApeGang #2800,1437721835,2021-10-19T05:28:26.961001
0,ApeGang #1355,1437645806,2021-10-19T05:20:43.951689
0,ApeGang #1355,1437645844,2021-10-19T05:20:44.119899
0,ApeGang #4471,1437172995,2021-10-19T04:45:16.458872
0,ApeGang #4471,1437133223,2021-10-19T04:41:28.990598
0,ApeGang #3032,1436700111,2021-10-19T04:02:07.222806
0,ApeGang #390,1436692802,2021-10-19T04:01:27.938466
0,ApeGang #8150,1436589616,2021-10-19T03:51:54.221621
0,ApeGang #6084,1436264100,2021-10-19T03:22:20.269644
0,ApeGang #6084,1436256721,2021-10-19T03:21:42.779268
0,ApeGang #6084,1436256700,2021-10-19T03:21:42.710070
0,ApeGang #6084,1436194408,2021-10-19T03:16:33.884450
0,ApeGang #9078,1436121660,2021-10-19T03:10:37.178442
0,ApeGang #4520,1436093094,2021-10-19T03:08:11.633612
0,ApeGang #9078,1436093243,2021-10-19T03:08:12.235656
0,ApeGang #4520,1436049662,2021-10-19T03:04:29.707405
0,ApeGang #4520,1436026228,2021-10-19T03:02:25.782857
0,ApeGang #2172,1435561897,2021-10-19T02:20:18.422575
0,ApeGang #4333,1435472182,2021-10-19T02:11:37.220862
0,ApeGang #8039,1435394803,2021-10-19T02:04:04.970101
0,ApeGang #8039,1435290959,2021-10-19T01:53:57.494412
0,ApeGang #8039,1435290966,2021-10-19T01:53:57.526897
0,ApeGang #8039,1435290965,2021-10-19T01:53:57.525675
0,ApeGang #2878,1434977400,2021-10-19T01:25:25.190984
0,ApeGang #2878,1434977470,2021-10-19T01:25:25.520894
0,ApeGang #2878,1434977433,2021-10-19T01:25:25.340459
0,ApeGang #2878,1434977540,2021-10-19T01:25:25.872663
0,ApeGang #7330,1434955735,2021-10-19T01:23:24.061525
0,ApeGang #7330,1434955712,2021-10-19T01:23:23.936863
0,ApeGang #3491,1434930624,2021-10-19T01:21:05.829840
0,ApeGang #605,1434924951,2021-10-19T01:20:33.421965
0,ApeGang #5879,1434925142,2021-10-19T01:20:34.375135
0,ApeGang #3491,1434925397,2021-10-19T01:20:35.621908
0,ApeGang #7970,1434789975,2021-10-19T01:07:57.247736
0,ApeGang #2292,1434457688,2021-10-19T00:38:47.461071
0,ApeGang #2292,1434457672,2021-10-19T00:38:47.408112
0,ApeGang #8656,1434429650,2021-10-19T00:36:25.074922
0,ApeGang #8656,1434052901,2021-10-19T00:00:26.167540
0,ApeGang #4238,1433874055,2021-10-18T23:42:58.134301
0,ApeGang #4238,1433874068,2021-10-18T23:42:58.192387
0,ApeGang #4238,1433874069,2021-10-18T23:42:58.196844
0,ApeGang #2229,1433711440,2021-10-18T23:26:51.841335
0,ApeGang #8480,1433435142,2021-10-18T23:00:29.824865
0,ApeGang #8480,1433414928,2021-10-18T22:58:41.450260
0,ApeGang #747,1432949412,2021-10-18T22:12:38.636308
0,ApeGang #747,1432837044,2021-10-18T22:01:19.049496
0,ApeGang #5374,1432814284,2021-10-18T21:58:59.728933
0,ApeGang #5374,1432811894,2021-10-18T21:58:45.964802
0,ApeGang #9705,1432039645,2021-10-18T20:41:55.879340
0,ApeGang #9705,1432028255,2021-10-18T20:40:55.376519
0,ApeGang #9705,1432025523,2021-10-18T20:40:39.873305
0,ApeGang #6359,1431281958,2021-10-18T19:31:17.365149
0,ApeGang #6359,1431281972,2021-10-18T19:31:17.430832
0,ApeGang #8753,1430086735,2021-10-18T17:52:16.288164
0,ApeGang #8753,1430085690,2021-10-18T17:52:11.033680
0,ApeGang #9732,1428843633,2021-10-18T15:59:46.482802
0,ApeGang #3418,1428571670,2021-10-18T15:36:59.495248
0,ApeGang #3418,1428562086,2021-10-18T15:36:11.980245
0,ApeGang #3393,1428450763,2021-10-18T15:26:27.235037
0,ApeGang #1414,1428426836,2021-10-18T15:24:23.762159
0,ApeGang #1980,1427956177,2021-10-18T14:43:44.867931
0,ApeGang #9079,1427857677,2021-10-18T14:35:14.347731
0,ApeGang #6544,1427846068,2021-10-18T14:34:20.762775
0,ApeGang #6544,1427822165,2021-10-18T14:32:28.369895
0,ApeGang #7458,1427350408,2021-10-18T13:53:01.351892
0,ApeGang #862,1426410292,2021-10-18T12:30:47.046858
0,ApeGang #862,1426409223,2021-10-18T12:30:41.273388
0,ApeGang #862,1426409211,2021-10-18T12:30:41.209001
0,ApeGang #5604,1425649805,2021-10-18T11:22:03.887936
0,ApeGang #5604,1425649804,2021-10-18T11:22:03.886454
0,ApeGang #1310,1425258780,2021-10-18T10:43:27.049823
0,ApeGang #1310,1425258776,2021-10-18T10:43:27.040405
0,ApeGang #8693,1425247808,2021-10-18T10:42:20.218316
0,ApeGang #8693,1425217424,2021-10-18T10:39:16.348440
0,ApeGang #5901,1424284109,2021-10-18T09:11:55.769056
0,ApeGang #8125,1423201083,2021-10-18T07:40:22.549753
0,ApeGang #6980,1423168277,2021-10-18T07:37:34.676143
0,ApeGang #8253,1423139753,2021-10-18T07:35:08.239189
0,ApeGang #3504,1422889293,2021-10-18T07:12:52.839186
0,ApeGang #165,1422610412,2021-10-18T06:47:21.246511
0,ApeGang #6452,1422604707,2021-10-18T06:46:50.510543
0,ApeGang #6646,1422592594,2021-10-18T06:45:46.780941
0,ApeGang #8207,1422409645,2021-10-18T06:29:53.213339
0,ApeGang #1040,1422365867,2021-10-18T06:26:12.435697
0,ApeGang #1040,1422359940,2021-10-18T06:25:42.765815
0,ApeGang #9959,1422340547,2021-10-18T06:24:04.127247
0,ApeGang #5834,1421807082,2021-10-18T05:35:19.317382
0,ApeGang #5834,1421803668,2021-10-18T05:34:59.905365
0,ApeGang #5834,1421803594,2021-10-18T05:34:59.488961
0,ApeGang #4902,1421787643,2021-10-18T05:33:30.149191
0,ApeGang #9910,1421708110,2021-10-18T05:26:12.667369
0,ApeGang #4902,1421688950,2021-10-18T05:24:27.830276
0,ApeGang #74,1421628405,2021-10-18T05:18:50.078617
0,ApeGang #74,1421628527,2021-10-18T05:18:50.624964
0,ApeGang #4539,1421551907,2021-10-18T05:11:06.632366
