,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,last_sale,last_sale_date
81,ApeGang #9929,Fireman,,,Brown,Joint,Black Sunglasses,0.8,2021-10-09T21:32:21.543038
82,ApeGang #9928,Blue Hoodie,Silver Hoop,Brown Beanie,Black,Nose Ring,,0.8,2021-10-09T20:33:49.850857
83,ApeGang #9927,,,Yellow NBA Headband,Brown,,Strabismus,0.269,2021-09-11T18:39:03.217643
84,ApeGang #9926,Grey Striped T-Shirt,,,Black,Mustache,Robot,,
85,ApeGang #9925,,,Party,Strong Dark Brown,Beard,Closed,0.6,2021-08-31T02:30:48.752138
86,ApeGang #9924,Black Tank Top,,Viking Helmet,Brown,Shocked,Robot,0.11,2021-07-19T21:47:06.730329
87,ApeGang #9923,,,Yellow NBA Headband,Brown,Angry,,,
88,ApeGang #9922,,,,White,Drool Rainbow,Round Glasses,0.548,2021-08-30T22:10:41.961742
89,ApeGang #9921,Indian,Diamond Stud,Viking Helmet,Grey,Tongue Out,,0.06,2021-07-23T03:08:28.467838
90,ApeGang #9920,Sheriff,Gold Hoop,,Black,Joint,Crazy,0.56,2021-09-19T20:37:52.358540
91,ApeGang #9919,Orange Striped T-Shirt,Diamond Stud,Yellow NBA Headband,Strong Dark Brown,Corn,Hippie Glasses,0.125,2021-08-23T21:35:38.447786
92,ApeGang #9918,,Bluetooth Earpiece,Laurel,Brown,Shocked,Hippie Glasses,0.03,2021-08-01T09:25:29.947289
93,ApeGang #9917,Sheriff,,Yellow NBA Headband,Brown,,Closed,0.24,2021-09-07T01:51:24.183386
94,ApeGang #9916,Sheriff,,,Brown,,Devil,0.45,2021-10-07T18:32:58.282529
95,ApeGang #9915,,,Purple Beanie,Black,Angry,Hippie Glasses,0.042,2021-08-19T12:35:28.301532
96,ApeGang #9914,Banana Shirt,Gold Hoop,,Black,,Crazy,,
97,ApeGang #9913,Iron Man,Gold Hoop,,Grey,Beard,Hippie Glasses,0.35,2021-07-19T23:53:27.201805
98,ApeGang #9912,Nurse,,,Brown,Grin Rainbow,Gold Sunglasses,0.07,2021-07-22T00:06:08.562512
99,ApeGang #9911,Nurse,,Rabbit Ears,Strong Dark Brown,Joker,,0.025,2021-08-02T20:15:04.785463
100,ApeGang #9910,,Diamond Stud,Red NBA Headband,Red Devil,Drool Rainbow,Crazy,0.15,2021-07-22T12:04:11.818287
101,ApeGang #9909,,Diamond Stud,Yellow NBA Headband,Brown,Grin Rainbow,Cyclops,,
102,ApeGang #9908,Pimp Coat,,Banana,Tiger,Angry,Bruised,0.0654,2021-08-06T01:12:44.152132
103,ApeGang #9907,Grey Striped T-Shirt,Silver Hoop,Top Hat,Brown,,,,
104,ApeGang #9906,Sheriff,,,Brown,,Gold Sunglasses,0.65,2021-08-31T04:36:12.362415
105,ApeGang #9905,Toga,,Red NBA Headband,Brown,Flames,,,
106,ApeGang #9904,,Gold Hoop,Fisherman,Zebra,Tongue Out,,0.444,2021-08-30T08:29:52.600209
107,ApeGang #9903,White Tank Top,,,White,,Heart,0.059,2021-07-22T17:27:30.070118
108,ApeGang #9902,Fireman,,Stuntman Helmet,Brown,Tongue Out,,,
109,ApeGang #9901,Hippie,,Fireman,Brown,,Eye Patch,,
110,ApeGang #9900,,,Brown Beanie,Grey,Grin Rainbow,3D Glasses,0.03,2021-07-18T07:22:23.413999
111,ApeGang #9899,Hotel Porter,,,Cheetah,,Heart,0.05,2021-07-29T10:57:04.264914
112,ApeGang #9898,Lumberjack,,Military Helmet,Tiger,Smoke Pipe,,0.03,2021-07-18T07:25:13.052343
113,ApeGang #9897,,,Brown Beanie,Grey,Baby Pacifier,Sad,0.16,2021-09-16T01:03:59.118365
114,ApeGang #9896,Magician,Bluetooth Earpiece,,Brown,,Rainbow Sunglasses,0.07,2021-08-06T13:29:40.185523
115,ApeGang #9895,,,Chef's,Strong Dark Brown,Cigarette,Scar,,
116,ApeGang #9894,,,Hippie Bandana,Black,Grin Rainbow,Robot Glasses,0.03,2021-07-18T03:22:40.012668
117,ApeGang #9893,,,Military Helmet,Zebra,,Bruised,0.59,2021-10-09T16:10:51.495528
118,ApeGang #9892,White Tank Top,Gold Hoop,Cowboy,Brown,Cigarette,Crazy,0.49,2021-08-29T06:36:14.952491
119,ApeGang #9891,,,Laurel,Alien,Mustache,Monocle,8.09,2021-10-12T23:45:58.233357
120,ApeGang #9890,Nurse,Gold Hoop,Hippie Bandana,Tiger,Drool Rainbow,Hippie Glasses,1.07,2021-10-05T04:04:44.077623
121,ApeGang #9889,,,,Brown,Grin Gold,Sad,0.3832,2021-09-28T20:53:22.717043
122,ApeGang #9888,Nurse,,Crown,Brown,Nose Ring,High,0.03,2021-07-18T02:13:20.527542
123,ApeGang #9887,Military,,Pirate,Cream,Flames,,,
124,ApeGang #9886,Devil Wings,,,Brown,,Monocle,0.03,2021-07-18T02:13:10.324614
125,ApeGang #9885,,,Rabbit Ears,Tiger,Mustache,Blind,0.089,2021-08-14T22:09:56.327459
126,ApeGang #9884,Blue Hoodie,,,Zebra,Mustache,Monocle,0.485,2021-09-04T02:45:07.530551
127,ApeGang #9883,Grey Striped T-Shirt,,,Black,,,0.75,2021-08-30T18:17:25.595839
128,ApeGang #9882,Black Tank Top,,Brain,Tiger,Snake,Devil,0.5,2021-09-26T23:46:50.962113
129,ApeGang #9881,,Gold Hoop,Halo,Brown,Smoke Pipe,Gold Sunglasses,0.7,2021-08-30T17:19:26.693159
130,ApeGang #9880,,,Sushi Chef,Brown,Tongue Out,,0.65,2021-10-09T16:30:56.065914
131,ApeGang #9879,Orange Striped T-Shirt,Gold Hoop,Military Helmet,Grey,Joint,Gold Sunglasses,0.03,2021-07-18T00:36:51.764033
132,ApeGang #9878,Banana Shirt,,,Tiger,Cigarette,Gold Sunglasses,0.3,2021-09-14T15:10:52.667462
133,ApeGang #9877,Blue Hoodie,,Hippie Bandana,Strong Dark Brown,Baby Pacifier,Bruised,0.45,2021-10-08T22:24:04.607123
134,ApeGang #9876,,Airpods,Purple Beanie,Tiger,,Rainbow Sunglasses,0.3589,2021-09-19T02:14:59.168875
135,ApeGang #9875,Sheriff,Bluetooth Earpiece,Purple Beanie,Brown,Bubble Gum,,0.369,2021-10-02T12:54:52.724867
136,ApeGang #9874,Magician,,,Brown,,Strabismus,0.71,2021-10-12T23:10:45.005766
137,ApeGang #9873,Banana Shirt,,Fireman,Brown,,,0.79,2021-10-13T02:37:15.408395
138,ApeGang #9872,Nurse,Bluetooth Earpiece,Rabbit Ears,Zebra,Corn,Sad,0.03,2021-07-18T09:23:43.637385
139,ApeGang #9871,Banana Shirt,,Crown,Brown,,Devil,0.03,2021-07-18T04:29:57.592708
140,ApeGang #9870,Hotel Porter,,,Brown,Grin Rainbow,,0.4,2021-10-06T16:40:30.686013
141,ApeGang #9869,Banana Shirt,,Cop,Brown,Snake,,0.8,2021-10-13T04:31:32.211920
142,ApeGang #9868,Yellow NBA Jersey,,,Rainbow,Angry,Eye Patch,0.03,2021-07-18T04:35:13.304888
143,ApeGang #9867,Black Suit,,Green Beanie,Brown,Grin Rainbow,,0.48,2021-10-09T02:58:12.275435
144,ApeGang #9866,Grey Striped T-Shirt,Diamond Stud,,Cream,Bubble Gum,,0.069,2021-08-16T12:50:07.352330
145,ApeGang #9865,,,Magician,Cheetah,,Robot,0.15,2021-08-25T06:02:05.904433
146,ApeGang #9864,,,Sombrero,Brown,,,0.25,2021-07-20T02:19:38.934412
147,ApeGang #9863,,,Yellow NBA Headband,Brown,,Closed,0.079,2021-08-10T07:31:33.854409
148,ApeGang #9862,Military,,,Cream,,Sad,,
149,ApeGang #9861,Cop,,Pirate,Rainbow,Beard,,0.488,2021-07-19T14:07:24.477642
