,sale_id,ape_id,sale_price,sale_time,seller_name,seller_wallet,buyer_name,buyer_wallet
0,600110527,ApeGang #1066,0.09,2021-08-22T13:58:28.228692,,0x84f3028236c9ab1b628e0ba7e7daed471f7a05d9,SmileFckrs,0x7d043b98f65d1f0ef30bdd15da9149b869162e78
0,600088950,ApeGang #9826,0.05307600936377976,2021-08-22T13:56:07.043397,,0x200f4f3f7681aa21f9102cb3bae0d8309b47bbfc,SmileFckrs,0x7d043b98f65d1f0ef30bdd15da9149b869162e78
0,600089029,ApeGang #5793,0.082,2021-08-22T13:56:07.682155,,0x668e961736454a2444adb485340cb7f0844ddd3d,SmileFckrs,0x7d043b98f65d1f0ef30bdd15da9149b869162e78
0,600004949,ApeGang #6427,0.12,2021-08-22T13:47:30.270074,,0x43335acf3438606cb33136d48cdfba98a28ec21f,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599959822,ApeGang #2320,0.074,2021-08-22T13:41:58.472368,,0xdca043d1aa8061d6577b361de32f6ae552b30339,Loentje,0x82a892a536dd70e6f2b7ebc37ce6eaa16f4691f7
0,599956873,ApeGang #2434,0.079,2021-08-22T13:41:32.658265,,0x76ba8674f08b13d6f78d74aa00c594cc9ed965d5,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599948225,ApeGang #9267,0.08,2021-08-22T13:40:20.888444,,0x38417d399b828a971940832569920ec4020bab95,,0x46e462b61904492a9a0c125d3ade5e4777133f0f
0,599943154,ApeGang #1962,0.077,2021-08-22T13:39:31.825583,,0xfd8a935e605dc22eee71c98a4132f48da9a6dc84,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599934209,ApeGang #6122,0.08,2021-08-22T13:38:06.235728,,0x5ee260685e066c05892baac6b3ed03cbd1dce51c,,0x21236af956e035c11d5463562d13e6315cd4e74d
0,599932582,ApeGang #941,0.0777,2021-08-22T13:37:51.480225,,0xe18c96e166b4cbbbbd990b665ac4ace565b5e4d6,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599881985,ApeGang #883,0.075,2021-08-22T13:33:17.410155,,0xa0acd401dde7caf2683c9bc03b0f093570d2575d,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599853642,ApeGang #7575,0.088,2021-08-22T13:30:49.017965,,0x7ce80ec49bc4facbba5fc88e99ffbce900b44993,bukj,0x53d6d06bac2a265d335d71cb0b08744e0877495c
0,599848765,ApeGang #4195,0.075,2021-08-22T13:30:23.289362,,0xf3b083ee79ba7474e6679569fa621a612413fa3d,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599842330,ApeGang #3042,0.075,2021-08-22T13:29:49.278237,,0xfd4846c0dc4d5e69a0ad0d964da76bb20f3fc26c,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599780436,ApeGang #3276,0.074,2021-08-22T13:24:39.798994,,0xdca043d1aa8061d6577b361de32f6ae552b30339,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599748413,ApeGang #1896,0.074,2021-08-22T13:22:03.511018,,0xdca043d1aa8061d6577b361de32f6ae552b30339,QUiRK,0xef528c773042f35df157a3fa0ded7c52170f9623
0,599717423,ApeGang #9983,0.0777,2021-08-22T13:19:26.758004,,0xe18c96e166b4cbbbbd990b665ac4ace565b5e4d6,,0x9f81037a48d376f104a974c26e3d02307ac6bfb2
