,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
114,ApeGang #9896,Magician,Bluetooth Earpiece,,Brown,,Rainbow Sunglasses
115,ApeGang #9895,,,Chef's,Strong Dark Brown,Cigarette,Scar
116,ApeGang #9894,,,Hippie Bandana,Black,Grin Rainbow,Robot Glasses
117,ApeGang #9893,,,Military Helmet,Zebra,,Bruised
118,ApeGang #9892,White Tank Top,Gold Hoop,Cowboy,Brown,Cigarette,Crazy
119,ApeGang #9891,,,Laurel,Alien,Mustache,Monocle
120,ApeGang #9890,Nurse,Gold Hoop,Hippie Bandana,Tiger,Drool Rainbow,Hippie Glasses
121,ApeGang #9889,,,,Brown,Grin Gold,Sad
122,ApeGang #9888,Nurse,,Crown,Brown,Nose Ring,High
123,ApeGang #9887,Military,,Pirate,Cream,Flames,
124,ApeGang #9886,Devil Wings,,,Brown,,Monocle
125,ApeGang #9885,,,Rabbit Ears,Tiger,Mustache,Blind
126,ApeGang #9884,Blue Hoodie,,,Zebra,Mustache,Monocle
127,ApeGang #9883,Grey Striped T-Shirt,,,Black,,
128,ApeGang #9882,Black Tank Top,,Brain,Tiger,Snake,Devil
129,ApeGang #9881,,Gold Hoop,Halo,Brown,Smoke Pipe,Gold Sunglasses
130,ApeGang #9880,,,Sushi Chef,Brown,Tongue Out,
131,ApeGang #9879,Orange Striped T-Shirt,Gold Hoop,Military Helmet,Grey,Joint,Gold Sunglasses
132,ApeGang #9878,Banana Shirt,,,Tiger,Cigarette,Gold Sunglasses
133,ApeGang #9877,Blue Hoodie,,Hippie Bandana,Strong Dark Brown,Baby Pacifier,Bruised
134,ApeGang #9876,,Airpods,Purple Beanie,Tiger,,Rainbow Sunglasses
135,ApeGang #9875,Sheriff,Bluetooth Earpiece,Purple Beanie,Brown,Bubble Gum,
136,ApeGang #9874,Magician,,,Brown,,Strabismus
137,ApeGang #9873,Banana Shirt,,Fireman,Brown,,
138,ApeGang #9872,Nurse,Bluetooth Earpiece,Rabbit Ears,Zebra,Corn,Sad
139,ApeGang #9871,Banana Shirt,,Crown,Brown,,Devil
140,ApeGang #9870,Hotel Porter,,,Brown,Grin Rainbow,
141,ApeGang #9869,Banana Shirt,,Cop,Brown,Snake,
142,ApeGang #9868,Yellow NBA Jersey,,,Rainbow,Angry,Eye Patch
143,ApeGang #9867,Black Suit,,Green Beanie,Brown,Grin Rainbow,
144,ApeGang #9866,Grey Striped T-Shirt,Diamond Stud,,Cream,Bubble Gum,
145,ApeGang #9865,,,Magician,Cheetah,,Robot
146,ApeGang #9864,,,Sombrero,Brown,,
147,ApeGang #9863,,,Yellow NBA Headband,Brown,,Closed
148,ApeGang #9862,Military,,,Cream,,Sad
149,ApeGang #9861,Cop,,Pirate,Rainbow,Beard,
150,ApeGang #9860,Magician,Bluetooth Earpiece,Magician,Brown,,Crazy
151,ApeGang #9859,,,Fisherman,Cream,Mustache,
152,ApeGang #9858,,,Fireman,White,Covid Mask,Heart
153,ApeGang #9857,Hippie,,Top Hat,Ghost,Mustache,Heart
154,ApeGang #9856,Sheriff,,,Cheetah,Angry,Bruised
155,ApeGang #9855,,,Chef's,Grey,,
156,ApeGang #9854,Hippie,,,Strong Dark Brown,Yawn,Rainbow Sunglasses
157,ApeGang #9853,,Silver Hoop,Pirate,Brown,,Eye Patch
158,ApeGang #9852,Orange Striped T-Shirt,,,Brown,Grin Gold,
159,ApeGang #9851,Purple Hoodie,,Crown,Grey,Yawn,Gold Sunglasses
160,ApeGang #9850,Toga,Diamond Stud,,Brown,Drool Rainbow,Gold Sunglasses
161,ApeGang #9849,Yellow NBA Jersey,Airpods,Party,Grey,,
162,ApeGang #9848,Black Tank Top,,Red NBA Headband,Cheetah,,
163,ApeGang #9847,Mexican,,Borsalino,Brown,Corn,3D Glasses
164,ApeGang #9846,Devil Wings,,Bandana,Grey,,Bruised
165,ApeGang #9845,Orange Striped T-Shirt,,Rabbit Ears,Brown,Cigarette,Gold Sunglasses
166,ApeGang #9844,Fireman,,Top Hat,Brown,Grillz,Hippie Glasses
167,ApeGang #9843,Iron Man,,Stuntman Helmet,Brown,,Eye Patch
168,ApeGang #9842,,,Brain,Brown,Flames,Monocle
169,ApeGang #9841,Purple Hoodie,,,Rainbow,Covid Mask,Sad
170,ApeGang #9840,,Gold Hoop,,Brown,Covid Mask,Black Sunglasses
171,ApeGang #9839,Sheriff,,,Cheetah,Joker,Rainbow Sunglasses
172,ApeGang #9838,Orange Hawaiian Shirt ,Gold Hoop,Brain,Brown,Joker,
173,ApeGang #9837,Sheriff,,Brain,Brown,,Hippie Glasses
