,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1.1.1.1,sale_id,ape_id,sale_price,sale_time,seller_name,seller_wallet,buyer_name,buyer_wallet
1260,1260.0,1260.0,0.0,1331282625,ApeGang #896,0.8,2021-10-11T19:02:42.240429,,0xa0a34ac357632624c805601b1b14c1ea61b6cc1e,xconszn,0x5c9db4852909298f5f76564603583a0218d80e58
1261,1261.0,1261.0,0.0,1331225449,ApeGang #243,0.8,2021-10-11T18:56:44.495907,,0x2093dbbeaf3c3a52f42f95b6af1cb6bc99c3e368,,0xeec730c63155c6d46999f849eaca81b25c07efd7
1262,1262.0,1262.0,0.0,1331203144,ApeGang #1128,0.74,2021-10-11T18:54:27.342516,,0x9c7b82c0302c7c945f9cf45a5c73e6f48ab84b14,JGG23,0xa6c5d40c321412d0a16e46a59b23c1dfd9d54ee8
1263,1263.0,1263.0,0.0,1331135980,ApeGang #6375,0.63,2021-10-11T18:47:35.762293,,0x524ea0468da49466e4b847b30e781e5806c516a3,scooch,0x08ae943e7e56021df124a0dd056438bb661ded76
1264,1264.0,1264.0,0.0,1331010935,ApeGang #7419,0.7169,2021-10-11T18:35:34.474970,,0x2bdb1d9d6ba6a180b66db6505e39deeb6ef69bc7,RastafariValut,0x0e8b82de86eb0d8dec29875d464a25a4fbdd0e8a
1265,1265.0,1265.0,0.0,1330950583,ApeGang #9805,2.0,2021-10-11T18:29:43.349459,,0xfa8abe7d3024a0bf75cb592d7a6126455d91be39,7.77778E+16,0xe87dedc5b15c55c84f30e9733e0698c2c42bd9d4
1266,1266.0,1266.0,0.0,1330853479,ApeGang #1331,0.85,2021-10-11T18:20:02.530932,,0xde4d437b9d81cd0b73de41958c67d401a2827c0d,ThirstyDuck,0xa4ac8eb08e4127302810bd34bb507ef332363ee7
1267,1267.0,1267.0,0.0,1330672963,ApeGang #9293,1.5,2021-10-11T18:02:10.446665,,0x3299c562429ea97a5c459b17484f1d8f9d14a576,vert_eth,0x251eac00018f407723f663b418879fe22ee20e72
1268,1268.0,1268.0,0.0,1330473361,ApeGang #2568,0.89,2021-10-11T17:42:35.306172,,0x441e86607d398cbec57cb2d61d3593b97b8748e9,,0x0c4037b72a0c63340fb530690ea123c612665a34
1269,1269.0,1269.0,0.0,1330450450,ApeGang #6892,1.25,2021-10-11T17:40:19.211863,,0x7f873ec58d567e78a2c1dca322cbdb6d490ccb7d,scooch,0x08ae943e7e56021df124a0dd056438bb661ded76
1270,1270.0,1270.0,0.0,1330436382,ApeGang #7818,0.7888,2021-10-11T17:38:59.326867,,0xbabd3108d452104ac0f7198585d0b8f1a2b41bd5,,0x0c4037b72a0c63340fb530690ea123c612665a34
1271,1271.0,1271.0,0.0,1330362988,ApeGang #9363,1.39,2021-10-11T17:32:08.930245,,0xeb8f77632833274b088f7877e6874088ff94ffde,,0x0c4037b72a0c63340fb530690ea123c612665a34
1272,1272.0,1272.0,0.0,1330355533,ApeGang #2887,0.8,2021-10-11T17:31:27.000339,,0xc2e3941a6c2b8dbee57cdd9afc4d5f359f1677a5,,0x7c5b2153fe099985d7496adb15eb2d21fe67e4ef
1273,1273.0,1273.0,0.0,1330258556,ApeGang #8387,0.8,2021-10-11T17:21:36.389195,,0x7f873ec58d567e78a2c1dca322cbdb6d490ccb7d,,0x0c4037b72a0c63340fb530690ea123c612665a34
1274,1274.0,1274.0,0.0,1330258533,ApeGang #3757,0.7499,2021-10-11T17:21:36.275505,,0x4a674137614be83bab59e1e307ba43307daab8be,,0x311b6fc0825212aae70ba5ff7281d910ec68ac93
1275,1275.0,1275.0,0.0,1330248228,ApeGang #2563,0.83,2021-10-11T17:20:22.277992,,0x1cb65b78c71606090917e425dada70e976f28fc7,jdmbird1,0x08d847d6fc9c9bab25bbaf1cafa051de1d6ef5db
1276,1276.0,1276.0,0.0,1330172979,ApeGang #9621,0.75,2021-10-11T17:12:37.632380,,0x0adfdf019fb9c5487d4cc65439091f48ffc2cecd,Itsover9000,0xdc71f1eb85db8e8951476d3e37527c4fb0ea3b21
1277,1277.0,1277.0,0.0,1330134941,ApeGang #1306,1.399,2021-10-11T17:08:51.906359,,0x1427a7e266087a3675ed54db8029eaf23eecd962,,0x0c4037b72a0c63340fb530690ea123c612665a34
1278,1278.0,1278.0,0.0,1329976616,ApeGang #340,0.79,2021-10-11T16:53:39.400992,,0x7423872f24e58d052e4491120f941287ba84335b,,0x0c4037b72a0c63340fb530690ea123c612665a34
1279,1279.0,1279.0,0.0,1329975699,ApeGang #3129,0.888,2021-10-11T16:53:34.082075,,0x797b2bd4deec1fbede8fd37a795093ec4b53ba12,ApeGang_Tj,0xb5ceceb072229f1d947d59aa8c871dc45fe45446
1280,1280.0,1280.0,0.0,1329952978,ApeGang #4813,0.75,2021-10-11T16:51:22.757308,,0x6c166952052661810fc87def1ca6dfe4139101a9,RareInfinity,0x731d6ca095a5d9f5da5b5dcc03e62bfbc9aac795
1281,1281.0,1281.0,0.0,1329916073,ApeGang #1617,0.75,2021-10-11T16:47:47.158853,,0x7f873ec58d567e78a2c1dca322cbdb6d490ccb7d,,0xf33986424e885ac4dbee5510d2c59ee3c326207d
1282,1282.0,1282.0,0.0,1329906691,ApeGang #2407,0.75,2021-10-11T16:46:52.267970,,0xfbc3f33af3dd99d709631791741eea65eddbfa50,Namudalli2,0xda6bf1dc76d4f166472cf329ead6a19d19be72aa
1283,1283.0,1283.0,0.0,1329898053,ApeGang #7536,0.7499,2021-10-11T16:46:02.109479,,0x9d446f878f13843d5722c1117a8931bae4e09fd3,Namudalli2,0xda6bf1dc76d4f166472cf329ead6a19d19be72aa
1284,1284.0,1284.0,0.0,1329885193,ApeGang #4399,0.749,2021-10-11T16:44:50.506951,,0xfb11af8f1fcd1738b21cd2ecc1d62c7a938fdca8,Namudalli2,0xda6bf1dc76d4f166472cf329ead6a19d19be72aa
1285,1285.0,1285.0,0.0,1329883251,ApeGang #6148,0.748,2021-10-11T16:44:40.083407,,0x0b6613040afd9e16b377daafa46823af61001c65,Namudalli2,0xda6bf1dc76d4f166472cf329ead6a19d19be72aa
1286,1286.0,1286.0,0.0,1329874709,ApeGang #7382,0.72,2021-10-11T16:43:51.676141,,0xcb1b88011cbacc2439e0694c133f3c7e546a46a4,Namudalli2,0xda6bf1dc76d4f166472cf329ead6a19d19be72aa
1287,1287.0,1287.0,0.0,1329778703,ApeGang #9723,0.74,2021-10-11T16:34:45.779492,,0x441e4dce551db0683f2bf17f5675b731ab2a40be,,0x59134da3e70562c805e453fe6d641fa7790d193a
1288,1288.0,1288.0,0.0,1329687529,ApeGang #6941,0.75,2021-10-11T16:25:48.359332,,0xd049984645ebf6eec57459c99fce8f65510c0c9e,,0x0c4037b72a0c63340fb530690ea123c612665a34
1289,1289.0,1289.0,0.0,1329668011,ApeGang #8916,0.75,2021-10-11T16:23:47.875687,,0xee5280e9eb7b9d33ca03332db7382b24f4a2d009,,0x0c4037b72a0c63340fb530690ea123c612665a34
1290,1290.0,1290.0,0.0,1329598274,ApeGang #2292,0.79,2021-10-11T16:16:50.665525,,0xe3880a6e0bd697aec7ee83b0882390ae2fd3c804,Howieg9671a,0x66356d266d4b5db229647f6554ae687aa7886c19
1291,1291.0,1291.0,0.0,1329576073,ApeGang #8864,0.75,2021-10-11T16:14:39.395473,,0xfbc3f33af3dd99d709631791741eea65eddbfa50,scottcarr,0xf4bfd62ef1fd9beb539d1ee53b0e8fba8d083c3e
1292,1292.0,1292.0,0.0,1329566068,ApeGang #7522,0.75,2021-10-11T16:13:38.190068,,0xd0a53702a5065ae3f0376b9484a069fbf662a9f4,,0x0c4037b72a0c63340fb530690ea123c612665a34
1293,1293.0,1293.0,0.0,1329432647,ApeGang #9128,0.71,2021-10-11T15:59:55.654148,,0x6b19771360199f7963973f488ef045bde7d85075,,0x0c4037b72a0c63340fb530690ea123c612665a34
1294,1294.0,1294.0,0.0,1329374734,ApeGang #5478,0.791,2021-10-11T15:53:37.898805,,0x6e9075da365be17041e704a16d39652a7a54b862,RANUM,0x9cff401fd8a9e22ebf4c9a4a115e49c2c718f89f
1295,1295.0,1295.0,0.0,1329339751,ApeGang #9572,0.464,2021-10-11T15:49:36.913859,,0x5a025579861862679874e7f74cdd58f5f5cc5070,12201608,0x7a75878cc5774aa591db328a00fe6e666a66e600
1296,1296.0,1296.0,0.0,1329255351,ApeGang #2025,0.72,2021-10-11T15:40:30.024901,,0xcb7c05fab273a79e1c380931b7540552c5e4aee3,macthereum,0x5b866516cc2759b0fe096d1176b605491f68414f
1297,1297.0,1297.0,0.0,1329236825,ApeGang #8056,0.849,2021-10-11T15:38:25.782519,,0x032fd1ac947de44f382423f78047d18cc903d7a1,,0x0c4037b72a0c63340fb530690ea123c612665a34
1298,1298.0,1298.0,0.0,1329153832,ApeGang #9308,1.47,2021-10-11T15:28:53.917994,,0x1cb65b78c71606090917e425dada70e976f28fc7,,0x0c4037b72a0c63340fb530690ea123c612665a34
1299,1299.0,1299.0,0.0,1329132113,ApeGang #4141,0.7399,2021-10-11T15:26:22.840786,,0x7821ea0d00dc7d2a9ca3c620970d8e0c713aabff,,0x0c4037b72a0c63340fb530690ea123c612665a34
1300,1300.0,1300.0,0.0,1329128471,ApeGang #3310,0.7,2021-10-11T15:25:58.582729,,0x3400c69803a46cb5c7ecb96dbb70975c6c910e10,staunch,0x5be7222ff4a516363f3879d857d20de50797e0cd
1301,1301.0,1301.0,0.0,1329100170,ApeGang #4655,3.0,2021-10-11T15:22:47.559221,,0x9de335f4cc14ccea6d67d16016b5d5796d3e3362,bulKZ,0x4a674137614be83bab59e1e307ba43307daab8be
1302,1302.0,1302.0,0.0,1329095826,ApeGang #9280,0.769,2021-10-11T15:22:20.568195,,0x68d6f8d408ab5e30be6b73cd53e9bd0b48cca78c,,0x0c4037b72a0c63340fb530690ea123c612665a34
1303,1303.0,1303.0,0.0,1329080905,ApeGang #2439,0.75,2021-10-11T15:20:46.019067,,0xaee435fccd079568b6adb16c033a0b029ded1361,,0x0c4037b72a0c63340fb530690ea123c612665a34
1304,1304.0,1304.0,0.0,1329046125,ApeGang #3427,0.74,2021-10-11T15:17:12.774546,,0xcd1d61e5ca822ae47dabca328da705e2ef940f83,Jordane8,0xbd0bf534bfda3db3e3d988a0803c7cab2afe4f71
1305,1305.0,1305.0,0.0,1329031621,ApeGang #619,0.9,2021-10-11T15:15:44.604401,,0xf133b16add084cb99a4915d589a2c43c475ba068,,0xeec730c63155c6d46999f849eaca81b25c07efd7
1306,1306.0,1306.0,0.0,1329030774,ApeGang #8049,2.19,2021-10-11T15:15:40.093537,,0x4959d4a9b61000d803b65be8287077799edcd075,,0xeec730c63155c6d46999f849eaca81b25c07efd7
1307,1307.0,1307.0,0.0,1329003839,ApeGang #8099,0.72,2021-10-11T15:12:58.637171,,0xcb7c05fab273a79e1c380931b7540552c5e4aee3,staunch,0x5be7222ff4a516363f3879d857d20de50797e0cd
1308,1308.0,1308.0,0.0,1328990532,ApeGang #6475,0.7,2021-10-11T15:11:40.481506,,0x25caf28ee55ef75e96cf840a536eb70a96a8fb00,Jordane8,0xbd0bf534bfda3db3e3d988a0803c7cab2afe4f71
1309,1309.0,1309.0,0.0,1328956040,ApeGang #4195,0.7,2021-10-11T15:08:19.991352,,0x927cff4181f1015133dd59944fe87ed8e2a6b809,Jordane8,0xbd0bf534bfda3db3e3d988a0803c7cab2afe4f71
1310,1310.0,1310.0,0.0,1328898000,ApeGang #101,0.88,2021-10-11T15:02:49.428327,,0x07c5c23c540f9d396d5cb4e6b36377f73e8ce1a9,MadRab,0xa2e15e7dad33a1585169a4839f5146f0f72d48a9
1311,1311.0,1311.0,0.0,1328793264,ApeGang #4827,0.699,2021-10-11T14:52:56.151453,,0xa3b218dc310b1835009a2f2efeaa5d299e3b8520,,0xad8902b8db5353e12e565f92d8e548d0f2c24492
1312,1312.0,1312.0,0.0,1328722369,ApeGang #6463,0.85,2021-10-11T14:46:09.879109,,0x8c2365fe0b0a9aa879b4114eb2b9b6565e431153,m1ssion,0xc92cacd7f3c8eea0f1de973e61129fcdf9a4c1b9
1313,1313.0,1313.0,0.0,1328530952,ApeGang #1860,0.9,2021-10-11T14:28:05.142996,,0x837b62988107d80c66e4dad561347341cf231805,Crazy_Diamond,0x2c82523d71d2d6085ff99ccfdba88cfc3e806d1d
1314,1314.0,1314.0,0.0,1328511809,ApeGang #6121,0.705,2021-10-11T14:26:10.821828,,0xe698d962deb6029151e1a9d60b81e655c7d6aa7c,SpacecowboyTwo,0x65d3cedd1cde251733426cb215ed8be4f4d546e4
1315,1315.0,1315.0,0.0,1328469343,ApeGang #1846,0.7069,2021-10-11T14:22:23.047244,,0xa2e15e7dad33a1585169a4839f5146f0f72d48a9,VNass,0xd1475f201a2d838f1bb587fec9662f4a66459c54
1316,1316.0,1316.0,0.0,1328394177,ApeGang #1469,0.9,2021-10-11T14:15:31.339363,,0x4f7fedab239c52f51bf8093ac26698b8f4e4e65d,ApeGang_Tj,0xb5ceceb072229f1d947d59aa8c871dc45fe45446
1317,1317.0,1317.0,0.0,1328337848,ApeGang #3208,0.75,2021-10-11T14:10:27.767563,,0xd508888a0478743b8cc19c3acfb1433092947a66,HyKing,0xbc1bc28ede98917c1eb0372b42d91329e82bf888
1318,1318.0,1318.0,0.0,1328254878,ApeGang #5631,0.789,2021-10-11T14:02:26.204950,,0x6e9075da365be17041e704a16d39652a7a54b862,BillKing,0x9d452cfdc1e2bdadd29180f9ff20cae4003d92c4
1319,1319.0,1319.0,0.0,1328150459,ApeGang #448,0.724,2021-10-11T13:50:38.688945,,0x0b6613040afd9e16b377daafa46823af61001c65,AyatollahAlpacchik,0xb0e2144261a6b1b2472c7c29ff6d63ae6d6c54c1
1320,1320.0,1320.0,0.0,1328137254,ApeGang #1539,0.7,2021-10-11T13:48:57.362949,,0x77fa39f3adf09bde9d4f175e40d0854d21a33318,Debauchery,0x9156f20136360aabc3f940af745aa989c0761017
1321,1321.0,1321.0,0.0,1328112099,ApeGang #8954,0.7,2021-10-11T13:46:01.691439,,0x732b88005a3c854a6d2814d010559f1dd7b91bfb,dxcrawler,0x0e0b43331afe772a5ff62dd22a55f6b831c2ebab
1322,1322.0,1322.0,0.0,1328100959,ApeGang #7712,0.8888,2021-10-11T13:44:43.176086,,0xc2b9c78e88357b7b602c2a71153834d2abc2f18f,,0x0c4037b72a0c63340fb530690ea123c612665a34
1323,1323.0,1323.0,0.0,1328100963,ApeGang #9077,1.1,2021-10-11T13:44:43.193541,,0x7f873ec58d567e78a2c1dca322cbdb6d490ccb7d,memethanW,0x464641498c415b7e772aec41b28d8fb42af5f676
1324,1324.0,1324.0,0.0,1328082744,ApeGang #9828,0.99,2021-10-11T13:42:31.217928,,0x0fdd46c5dd2cb93c197be345fcafc00c178c3e87,AyatollahAlpacchik,0xb0e2144261a6b1b2472c7c29ff6d63ae6d6c54c1
1325,1325.0,1325.0,0.0,1327889496,ApeGang #5335,0.7,2021-10-11T13:22:17.520675,,0x7a775b60ac93b5c089b19ee408a729ff9fdd5d0c,badhombregourb,0x61c0e83868ed31fd5f9b4cb58f8be76912b7151c
1326,1326.0,1326.0,0.0,1327762289,ApeGang #8837,3.8,2021-10-11T13:09:42.674474,,0x163d601fc42100341768afe750ba9adc26cd379c,,0x0c4037b72a0c63340fb530690ea123c612665a34
1327,1327.0,1327.0,0.0,1327517160,ApeGang #3142,0.8,2021-10-11T12:44:22.953668,,0x4cf9c71f5a396cd29350013d4330e0957cad3db2,Lockapalooza,0x13cda8ca7c48d0644c45a0ff5d282bbffc6d8c81
1328,1328.0,1328.0,0.0,1327462681,ApeGang #8954,0.75,2021-10-11T12:38:48.460269,,0xf9606bb98fc76bf45eb6993450ca2fc59b7889ac,pillchill,0x732b88005a3c854a6d2814d010559f1dd7b91bfb
1329,1329.0,1329.0,0.0,1327382370,ApeGang #1892,0.7,2021-10-11T12:30:46.797123,,0x14d43abeb360e788219223da9d0327667f84c39a,,0x98de2a07f09afb28f0b3af3e3dcede7cb97130f1
1330,1330.0,1330.0,0.0,1327281850,ApeGang #83,0.68,2021-10-11T12:20:38.289572,,0x6c8d771691d1d91d77425073e6bcafde0532ae85,,0x4c7bb179597fd2033babf49c340e1760adaf7fc0
1331,1331.0,1331.0,0.0,1327032436,ApeGang #8217,0.99,2021-10-11T11:54:36.804182,,0x98de2a07f09afb28f0b3af3e3dcede7cb97130f1,kerker,0x719f973d8fe35f35c56d634b4d70e2791dc960c4
